Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2015-05-04;21,60234;21,60320;21,60234;21,60320;200;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2015-05-05;21,44064;21,44064;21,38931;21,38931;600;0,00000;0;-0,00990;0,99010;;0,99010;0,99010;0,99010;0,99010;0,99010;0,99010;-0,01706;-0,00948;-0,00758;-0,00375;-0,00192;-0,00183
2015-05-06;21,26952;21,26952;21,26952;21,26952;3000;0,00000;0;-0,00560;0,98455;;0,98988;0,98996;0,98909;0,98959;0,98999;0,99004;-0,03979;-0,02190;-0,01789;-0,00941;-0,00453;-0,00489
2015-05-07;21,26097;21,26097;21,26097;21,26097;300;0,00000;0;-0,00040;0,98416;;0,98966;0,98982;0,98819;0,98910;0,98987;0,98999;-0,05783;-0,03407;-0,02376;-0,01495;-0,00731;-0,00764
2015-05-08;21,58609;21,58609;21,58609;21,58609;700;0,00000;0;0,01529;0,99921;;0,99003;0,99005;0,99020;0,99002;0,99006;0,99008;-0,04537;-0,03743;-0,00793;-0,01453;-0,00888;-0,00564
2015-05-11;21,56042;21,56042;21,53475;21,54331;2500;0,00000;0;-0,00198;0,99723;;0,99031;0,99023;0,99147;0,99067;0,99020;0,99015;-0,03850;-0,03772;-0,00078;-0,01487;-0,01000;-0,00487
2015-05-12;21,49197;21,49197;21,38930;21,39786;5300;0,00000;0;-0,00675;0,99049;;0,99032;0,99023;0,99130;0,99066;0,99021;0,99015;-0,04428;-0,03938;-0,00490;-0,01773;-0,01125;-0,00648
2015-05-13;21,54330;21,54330;21,53475;21,53475;400;0,00000;0;0,00640;0,99683;;0,99058;0,99040;0,99230;0,99122;0,99034;0,99022;-0,03738;-0,03890;0,00152;-0,01805;-0,01224;-0,00581
2015-05-14;22,02242;22,03098;21,71442;21,71442;500;0,00000;0;0,00834;1,00515;;0,99115;0,99076;0,99464;0,99249;0,99063;0,99037;-0,01722;-0,03389;0,01667;-0,01519;-0,01263;-0,00256
2015-05-15;21,72298;21,78287;21,71528;21,78287;800;0,00000;0;0,00315;1,00832;;0,99182;0,99119;0,99713;0,99393;0,99098;0,99055;0,00423;-0,02535;0,02958;-0,01127;-0,01246;0,00120
2015-05-18;21,76575;21,76575;21,76575;21,76575;1000;0,00000;0;-0,00079;1,00752;;0,99244;0,99160;0,99902;0,99516;0,99131;0,99071;0,01962;-0,01551;0,03513;-0,00783;-0,01194;0,00412
2015-05-19;21,76575;21,76575;21,76575;21,76575;0;0,00000;0;0,00000;1,00752;;0,99303;0,99199;1,00056;0,99629;0,99163;0,99088;0,03146;-0,00543;0,03688;-0,00454;-0,01116;0,00662
2015-05-20;21,83420;21,87698;21,78287;21,78287;18600;0,00000;0;0,00079;1,00832;;0,99363;0,99239;1,00197;0,99738;0,99196;0,99105;0,04174;0,00456;0,03718;-0,00111;-0,01017;0,00906
2015-05-21;21,80853;21,83420;21,80853;21,83420;5100;0,00000;0;0,00236;1,01069;;0,99430;0,99285;1,00356;0,99859;0,99233;0,99125;0,05341;0,01478;0,03864;0,00306;-0,00893;0,01198
2015-05-22;22,27054;22,27054;21,81880;21,81880;1200;0,00000;0;-0,00071;1,00998;;0,99491;0,99327;1,00473;0,99962;0,99268;0,99144;0,06072;0,02430;0,03642;0,00675;-0,00753;0,01428
2015-05-26;21,56897;21,56897;21,50053;21,50053;5400;0,00000;0;-0,01459;0,99525;;0,99493;0,99332;1,00300;0,99923;0,99273;0,99147;0,04037;0,02761;0,01276;0,00469;-0,00648;0,01118
2015-05-27;21,57753;21,60320;21,57753;21,60320;700;0,00000;0;0,00478;1,00000;;0,99512;0,99348;1,00246;0,99930;0,99288;0,99156;0,03215;0,02854;0,00361;0,00453;-0,00558;0,01011
2015-05-28;21,98821;21,98821;21,55186;21,55186;600;0,00000;0;-0,00238;0,99762;;0,99522;0,99359;1,00158;0,99915;0,99297;0,99162;0,02125;0,02705;-0,00580;0,00347;-0,00487;0,00834
2015-05-29;21,51764;21,51764;21,51764;21,51764;400;0,00000;0;-0,00159;0,99604;;0,99525;0,99365;1,00057;0,99886;0,99303;0,99166;0,00974;0,02354;-0,01380;0,00186;-0,00435;0,00622
2015-06-01;21,50053;21,50053;21,43209;21,49198;4500;0,00000;0;-0,00119;0,99485;0,14734;0,99524;0,99368;0,99953;0,99850;0,99307;0,99170;-0,00144;0,01848;-0,01992;-0,00012;-0,00404;0,00392
2015-06-02;21,48342;21,48342;21,47486;21,47486;2000;0,00000;0;-0,00080;0,99406;0,13494;0,99519;0,99369;0,99854;0,99809;0,99309;0,99172;-0,01155;0,01242;-0,02397;-0,00231;-0,00392;0,00161
2015-06-03;21,59464;21,62886;21,59464;21,62886;200;0,00000;0;0,00717;1,00119;0,13675;0,99543;0,99387;0,99902;0,99838;0,99325;0,99181;-0,00705;0,00850;-0,01555;-0,00169;-0,00376;0,00207
2015-06-04;21,38075;21,38075;21,38075;21,38075;1100;0,00000;0;-0,01147;0,98970;0,14736;0,99520;0,99377;0,99732;0,99759;0,99318;0,99179;-0,02323;0,00212;-0,02535;-0,00545;-0,00388;-0,00158
2015-06-05;21,20108;21,27808;21,20108;21,27808;1600;0,00000;0;-0,00480;0,98495;0,15044;0,99480;0,99355;0,99507;0,99644;0,99301;0,99172;-0,04384;-0,00712;-0,03672;-0,01083;-0,00434;-0,00649
2015-06-08;21,27808;21,27808;21,27808;21,27808;0;0,00000;0;0,00000;0,98495;0,13611;0,99441;0,99334;0,99323;0,99539;0,99285;0,99166;-0,05949;-0,01763;-0,04186;-0,01595;-0,00509;-0,01086
2015-06-09;21,08130;21,11552;21,08130;21,11552;1000;0,00000;0;-0,00764;0,97743;0,14189;0,99375;0,99294;0,99036;0,99376;0,99255;0,99152;-0,08404;-0,03095;-0,05308;-0,02366;-0,00627;-0,01739
2015-06-10;21,26097;21,26097;21,26097;21,26097;100;0,00000;0;0,00689;0,98416;0,14223;0,99337;0,99273;0,98923;0,99289;0,99238;0,99144;-0,09071;-0,04293;-0,04778;-0,02844;-0,00765;-0,02080
2015-06-11;21,44064;21,44064;21,40471;21,40471;800;0,00000;0;0,00676;0,99081;0,14579;0,99327;0,99268;0,98952;0,99270;0,99235;0,99144;-0,08344;-0,05105;-0,03239;-0,03047;-0,00904;-0,02143
2015-06-12;21,40471;21,40471;21,40471;21,40471;0;0,00000;0;0,00000;0,99081;0,13191;0,99318;0,99263;0,98975;0,99253;0,99232;0,99143;-0,07679;-0,05621;-0,02058;-0,03239;-0,01044;-0,02194
2015-06-15;21,12408;21,26097;21,12408;21,26097;3600;0,00000;0;-0,00672;0,98416;0,14607;0,99282;0,99243;0,98874;0,99177;0,99216;0,99136;-0,08217;-0,06141;-0,02077;-0,03671;-0,01199;-0,02472
2015-06-16;21,23530;21,26097;21,21819;21,26097;900;0,00000;0;0,00000;0,98416;0,13623;0,99248;0,99222;0,98790;0,99107;0,99200;0,99129;-0,08545;-0,06622;-0,01923;-0,04081;-0,01367;-0,02714
2015-06-17;21,26097;21,26097;21,26097;21,26097;0;0,00000;0;0,00000;0,98416;0,12326;0,99216;0,99202;0,98722;0,99045;0,99185;0,99121;-0,08705;-0,07039;-0,01666;-0,04470;-0,01545;-0,02925
2015-06-18;21,48341;21,53475;21,43208;21,53475;500;0,00000;0;0,01288;0,99683;0,13760;0,99234;0,99214;0,98897;0,99103;0,99194;0,99127;-0,06547;-0,06940;0,00394;-0,04358;-0,01704;-0,02655
2015-06-19;21,49197;21,56042;21,49197;21,56042;2400;0,00000;0;0,00119;0,99802;0,13101;0,99256;0,99229;0,99062;0,99166;0,99206;0,99134;-0,04576;-0,06467;0,01891;-0,04204;-0,01843;-0,02361
2015-06-22;21,72297;21,73153;21,68362;21,71442;4300;0,00000;0;0,00714;1,00515;0,13483;0,99306;0,99260;0,99326;0,99289;0,99232;0,99148;-0,01752;-0,05524;0,03772;-0,03786;-0,01950;-0,01836
2015-06-23;21,72297;21,72297;21,72297;21,72297;2000;0,00000;0;0,00039;1,00554;0,12280;0,99355;0,99292;0,99549;0,99404;0,99259;0,99162;0,00549;-0,04309;0,04858;-0,03371;-0,02028;-0,01343
2015-06-24;21,56897;21,57753;21,56897;21,57753;2500;0,00000;0;-0,00670;0,99881;0,12577;0,99375;0,99307;0,99610;0,99447;0,99271;0,99169;0,01185;-0,03210;0,04395;-0,03229;-0,02092;-0,01136
2015-06-25;21,67291;21,67291;21,67291;21,67291;0;0,11100;0;0,00442;1,00323;0,12288;0,99412;0,99332;0,99739;0,99527;0,99292;0,99180;0,02431;-0,02082;0,04512;-0,02924;-0,02137;-0,00788
2015-06-26;21,47527;21,47527;21,47527;21,47527;1900;0,00000;0;-0,00912;0,99408;0,13000;0,99412;0,99334;0,99679;0,99516;0,99294;0,99182;0,01803;-0,01305;0,03107;-0,02979;-0,02181;-0,00798
2015-06-29;20,70185;21,27761;20,70185;21,10574;5400;0,00000;0;-0,01721;0,97697;0,19128;0,99345;0,99293;0,99319;0,99351;0,99262;0,99168;-0,01658;-0,01375;-0,00283;-0,03678;-0,02259;-0,01418
2015-06-30;21,15730;21,15730;21,15730;21,15730;300;0,00000;0;0,00244;0,97936;0,17797;0,99290;0,99260;0,99067;0,99222;0,99236;0,99155;-0,03939;-0,01888;-0,02051;-0,04251;-0,02363;-0,01888
