Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2007-12-21;22,36861;22,58409;22,35203;22,56751;8300;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2007-12-24;22,70012;22,74156;22,64210;22,69183;8400;0,00000;0;0,00551;1,00551;;1,00551;1,00551;1,00551;1,00551;1,00551;1,00551;0,00992;0,00551;0,00441;0,00218;0,00111;0,00106
2007-12-26;22,68766;22,77945;22,68766;22,76276;9200;0,18500;0;0,00313;1,00865;;1,00563;1,00559;1,00608;1,00579;1,00557;1,00554;0,02323;0,01277;0,01046;0,00549;0,00264;0,00286
2007-12-27;22,54581;22,73773;22,40396;22,40396;49000;0,00000;0;-0,01576;0,99275;;1,00513;1,00527;1,00366;1,00461;1,00532;1,00541;0,00478;0,01006;-0,00529;0,00236;0,00257;-0,00020
2007-12-28;22,56250;22,56250;22,37059;22,39562;9200;0,00000;0;-0,00037;0,99238;;1,00463;1,00495;1,00161;1,00350;1,00506;1,00528;-0,01040;0,00398;-0,01438;-0,00077;0,00184;-0,00260
2007-12-31;22,22039;22,39562;22,19536;22,39562;35200;0,00000;0;0,00000;0,99238;;1,00415;1,00464;0,99993;1,00249;1,00481;1,00515;-0,02218;-0,00311;-0,01906;-0,00375;0,00080;-0,00455
2008-01-02;22,31217;22,31217;21,93669;21,99509;8400;0,00000;0;-0,01788;0,97464;;1,00299;1,00390;0,99533;0,99996;1,00421;1,00485;-0,06310;-0,01829;-0,04480;-0,01360;-0,00154;-0,01206
2008-01-03;22,04516;22,04516;21,76981;21,76981;10700;0,00000;0;-0,01024;0,96465;;1,00149;1,00293;0,98975;0,99675;1,00343;1,00445;-0,11241;-0,04091;-0,07150;-0,02692;-0,00523;-0,02170
2008-01-04;21,64465;21,64465;20,91036;20,91036;34200;0,00000;0;-0,03948;0,92657;;0,99855;1,00105;0,97827;0,99037;1,00191;1,00368;-0,21833;-0,08190;-0,13643;-0,05466;-0,01175;-0,04291
2008-01-07;20,96877;21,23578;20,83526;20,99380;13800;0,00000;0;0,00399;0,93027;;0,99587;0,99930;0,96954;0,98490;1,00049;1,00295;-0,29216;-0,12901;-0,16316;-0,07958;-0,01996;-0,05962
2008-01-08;21,08559;21,08559;20,45978;20,46812;8100;0,00000;0;-0,02504;0,90697;;0,99238;0,99702;0,95816;0,97782;0,99864;1,00199;-0,38862;-0,18581;-0,20281;-0,11250;-0,03037;-0,08213
2008-01-09;20,42641;20,53488;20,06761;20,53488;17600;0,00000;0;0,00326;0,90993;;0,98915;0,99487;0,94939;0,97165;0,99688;1,00107;-0,45444;-0,24350;-0,21094;-0,14262;-0,04217;-0,10044
2008-01-10;20,40971;20,98546;20,40971;20,92705;35400;0,00000;0;0,01910;0,92731;;0,98673;0,99320;0,94538;0,96762;0,99550;1,00034;-0,46954;-0,29134;-0,17820;-0,16436;-0,05428;-0,11009
2008-01-11;20,45978;20,62666;20,33462;20,33462;3100;0,00000;0;-0,02831;0,90106;;0,98337;0,99092;0,93732;0,96156;0,99363;0,99935;-0,52328;-0,33986;-0,18342;-0,19537;-0,06752;-0,12785
2008-01-14;20,57660;20,57660;20,42641;20,53488;11000;0,00000;0;0,00985;0,90993;;0,98049;0,98892;0,93234;0,95687;0,99197;0,99846;-0,54345;-0,38206;-0,16138;-0,22130;-0,08126;-0,14004
2008-01-15;20,33462;20,36799;20,01754;20,01754;23200;0,00000;0;-0,02519;0,88701;;0,97682;0,98641;0,92410;0,95052;0,98990;0,99735;-0,59432;-0,42574;-0,16858;-0,25495;-0,09609;-0,15885
2008-01-16;20,01754;20,30958;19,91741;20,15104;15200;0,00000;0;0,00667;0,89292;;0,97353;0,98410;0,91843;0,94528;0,98798;0,99631;-0,61676;-0,46483;-0,15193;-0,28453;-0,11154;-0,17299
2008-01-17;20,10933;20,15105;19,49186;19,51689;12700;0,00000;0;-0,03147;0,86482;;0,96927;0,98115;0,90868;0,93797;0,98554;0,99501;-0,67790;-0,50822;-0,16967;-0,32367;-0,12829;-0,19538
2008-01-18;19,70046;19,81728;19,29994;19,41676;8100;0,00000;0;-0,00513;0,86039;;0,96500;0,97817;0,89990;0,93092;0,98306;0,99367;-0,72606;-0,55243;-0,17363;-0,36254;-0,14615;-0,21639
2008-01-22;18,24859;19,29994;18,24859;19,16644;31400;0,00000;0;-0,01289;0,84929;0,46526;0,96046;0,97499;0,89070;0,92350;0,98041;0,99223;-0,77549;-0,59756;-0,17793;-0,40377;-0,16517;-0,23860
2008-01-23;18,94950;19,80060;18,81599;19,80060;20900;0,00000;0;0,03309;0,87739;0,51472;0,95720;0,97258;0,88828;0,91930;0,97837;0,99109;-0,75479;-0,62930;-0,12549;-0,43173;-0,18427;-0,24746
2008-01-24;20,02589;20,20946;19,90073;20,20946;8400;0,00000;0;0,02065;0,89551;0,50464;0,95478;0,97068;0,88960;0,91714;0,97673;0,99014;-0,69735;-0,64301;-0,05434;-0,45098;-0,20285;-0,24812
2008-01-25;20,25117;20,27621;19,82562;19,82562;10000;0,00000;0;-0,01899;0,87850;0,49949;0,95179;0,96840;0,88758;0,91363;0,97478;0,98903;-0,67503;-0,64945;-0,02558;-0,47581;-0,22139;-0,25442
2008-01-28;19,90072;20,30124;19,61702;20,30124;11300;0,00000;0;0,02399;0,89958;0,51708;0,94974;0,96670;0,88976;0,91235;0,97330;0,98814;-0,61190;-0,64191;0,03000;-0,49089;-0,23925;-0,25163
2008-01-29;20,62667;20,62667;20,35965;20,62667;14300;0,00000;0;0,01603;0,91400;0,49883;0,94834;0,96540;0,89417;0,91250;0,97212;0,98740;-0,52951;-0,61934;0,08983;-0,49930;-0,25611;-0,24319
2008-01-30;20,54322;20,94374;20,49316;20,50985;4800;0,00000;0;-0,00566;0,90882;0,49423;0,94679;0,96400;0,89683;0,91217;0,97087;0,98662;-0,46824;-0,58903;0,12079;-0,50911;-0,27216;-0,23695
2008-01-31;20,89367;20,98546;20,89367;20,98546;600;0,00000;0;0,02319;0,92990;0,49246;0,94613;0,96316;0,90284;0,91378;0,97006;0,98605;-0,37697;-0,54652;0,16955;-0,50987;-0,28695;-0,22292
2008-02-01;21,23578;21,42770;21,23578;21,42770;3200;0,00000;0;0,02107;0,94949;0,48768;0,94626;0,96282;0,91133;0,91703;0,96965;0,98569;-0,26588;-0,49028;0,22440;-0,50259;-0,30012;-0,20247
2008-02-04;21,28585;21,28585;21,13565;21,13565;29500;0,00000;0;-0,01363;0,93655;0,46905;0,94588;0,96218;0,91591;0,91880;0,96899;0,98520;-0,19911;-0,43196;0,23284;-0,50052;-0,31215;-0,18837
2008-02-05;20,82692;20,85196;20,53488;20,53488;12600;0,00000;0;-0,02842;0,90993;0,48159;0,94447;0,96089;0,91482;0,91799;0,96782;0,98445;-0,19246;-0,38400;0,19154;-0,50882;-0,32376;-0,18506
2008-02-06;20,46812;20,64335;20,33462;20,33462;7500;0,00000;0;-0,00975;0,90106;0,46513;0,94277;0,95941;0,91232;0,91645;0,96650;0,98362;-0,20102;-0,34737;0,14634;-0,51998;-0,33516;-0,18482
2008-02-07;20,30959;20,30959;20,02589;20,14270;6500;0,00000;0;-0,00944;0,89255;0,45023;0,94080;0,95776;0,90873;0,91428;0,96504;0,98271;-0,22076;-0,32202;0,10127;-0,53372;-0,34654;-0,18718
2008-02-08;20,14270;20,31793;20,14270;20,21780;10900;0,00000;0;0,00373;0,89588;0,42404;0,93904;0,95623;0,90639;0,91261;0,96367;0,98185;-0,22771;-0,30315;0,07544;-0,54521;-0,35777;-0,18745
2008-02-11;20,19277;20,31793;20,01754;20,22615;32700;0,00000;0;0,00041;0,89625;0,41227;0,93736;0,95475;0,90455;0,91112;0,96233;0,98100;-0,22990;-0,28849;0,05860;-0,55575;-0,36881;-0,18693
2008-02-12;20,43474;20,45978;20,10098;20,16773;17600;0,00000;0;-0,00289;0,89366;0,40717;0,93565;0,95324;0,90257;0,90953;0,96097;0,98013;-0,23365;-0,27752;0,04387;-0,56652;-0,37971;-0,18681
2008-02-13;20,40137;20,44309;20,27621;20,41806;17000;0,00000;0;0,01241;0,90475;0,39462;0,93444;0,95204;0,90297;0,90910;0,95986;0,97938;-0,21396;-0,26480;0,05084;-0,57212;-0,39019;-0,18193
2008-02-14;20,43475;20,43475;20,09264;20,10099;45400;0,00000;0;-0,01553;0,89070;0,38962;0,93272;0,95053;0,90074;0,90743;0,95849;0,97850;-0,22138;-0,25612;0,03473;-0,58271;-0,40056;-0,18215
2008-02-15;19,92576;20,00920;19,82563;20,00920;8700;0,00000;0;-0,00457;0,88664;0,37874;0,93091;0,94895;0,89817;0,90554;0,95707;0,97758;-0,23200;-0,25129;0,01929;-0,59412;-0,41088;-0,18324
2008-02-19;20,05926;20,05926;19,81728;19,83397;16000;0,00000;0;-0,00876;0,87887;0,36571;0,92887;0,94722;0,89466;0,90311;0,95552;0,97660;-0,25166;-0,25136;-0,00029;-0,60776;-0,42128;-0,18648
2008-02-20;19,63371;20,03423;19,61702;19,95079;81000;0,00000;0;0,00589;0,88405;0,37062;0,92711;0,94566;0,89273;0,90138;0,95410;0,97568;-0,25487;-0,25207;-0,00280;-0,61840;-0,43159;-0,18681
2008-02-21;20,02589;20,03423;19,60034;19,60034;11700;0,00000;0;-0,01757;0,86852;0,37664;0,92482;0,94376;0,88833;0,89839;0,95241;0,97461;-0,28244;-0,25814;-0,02430;-0,63436;-0,44211;-0,19226
2008-02-22;19,70881;19,70881;19,35836;19,61703;12400;0,00000;0;0,00085;0,86926;0,37415;0,92264;0,94192;0,88486;0,89574;0,95076;0,97357;-0,29948;-0,26641;-0,03307;-0,64896;-0,45275;-0,19621
2008-02-25;19,83397;19,92576;19,67544;19,92576;36200;0,00000;0;0,01574;0,88294;0,36792;0,92108;0,94046;0,88451;0,89458;0,94942;0,97266;-0,28480;-0,27009;-0,01471;-0,65713;-0,46317;-0,19395
2008-02-26;20,01754;20,33462;20,01754;20,29290;18400;0,00000;0;0,01843;0,89921;0,37182;0,92022;0,93944;0,88719;0,89500;0,94843;0,97193;-0,24076;-0,26422;0,02346;-0,65814;-0,47305;-0,18510
2008-02-27;20,11767;20,22615;19,97582;20,02589;2300;0,00000;0;-0,01316;0,88738;0,36660;0,91894;0,93816;0,88722;0,89431;0,94722;0,97109;-0,22482;-0,25634;0,03152;-0,66346;-0,48262;-0,18084
2008-02-28;19,91741;20,02589;19,79225;19,79225;12600;0,00000;0;-0,01167;0,87702;0,35394;0,91729;0,93665;0,88537;0,89274;0,94583;0,97016;-0,22840;-0,25075;0,02235;-0,67229;-0,49209;-0,18019
2008-02-29;19,46683;19,48352;19,31664;19,31664;8900;0,00000;0;-0,02403;0,85595;0,36553;0,91489;0,93465;0,88002;0,88939;0,94405;0,96902;-0,26654;-0,25391;-0,01263;-0,68869;-0,50185;-0,18684
2008-03-03;19,14975;19,19147;19,10803;19,17478;6800;0,00000;0;-0,00734;0,84966;0,35058;0,91233;0,93256;0,87450;0,88578;0,94218;0,96783;-0,30471;-0,26407;-0,04064;-0,70645;-0,51194;-0,19451
2008-03-04;19,02459;19,10804;18,76593;19,07466;13400;0,00000;0;-0,00522;0,84523;0,35613;0,90970;0,93040;0,86918;0,88209;0,94026;0,96661;-0,33912;-0,27908;-0,06004;-0,72477;-0,52237;-0,20240
2008-03-05;19,13307;19,34167;19,12472;19,21651;23000;0,00000;0;0,00744;0,85151;0,34765;0,90742;0,92845;0,86596;0,87931;0,93850;0,96547;-0,35091;-0,29345;-0,05746;-0,73937;-0,53296;-0,20642
2008-03-06;19,01625;19,01625;18,63242;18,64911;66600;0,00000;0;-0,02953;0,82637;0,37016;0,90424;0,92593;0,85877;0,87450;0,93628;0,96408;-0,40140;-0,31504;-0,08636;-0,76285;-0,54411;-0,21874
2008-03-07;18,44051;18,80765;18,38210;18,58236;60800;0,00000;0;-0,00358;0,82341;0,37544;0,90107;0,92340;0,85234;0,86986;0,93405;0,96268;-0,44171;-0,34037;-0,10134;-0,78600;-0,55578;-0,23022
2008-03-10;18,43216;18,56567;18,19018;18,19018;31500;0,00000;0;-0,02110;0,80603;0,37703;0,89734;0,92050;0,84392;0,86405;0,93151;0,96112;-0,49955;-0,37221;-0,12734;-0,81452;-0,56821;-0,24631
2008-03-11;18,43216;18,81599;18,29031;18,81599;126300;0,00000;0;0,03440;0,83376;0,40073;0,89485;0,91836;0,84207;0,86130;0,92958;0,95986;-0,48925;-0,39562;-0,09363;-0,83032;-0,58074;-0,24957
2008-03-12;18,83268;19,05797;18,69918;18,70752;18300;0,00000;0;-0,00576;0,82896;0,39673;0,89226;0,91615;0,83969;0,85836;0,92758;0,95855;-0,48425;-0,41334;-0,07091;-0,84685;-0,59341;-0,25344
2008-03-13;18,47388;18,99121;18,35706;18,87440;84100;0,00000;0;0,00892;0,83635;0,41934;0,89007;0,91418;0,83908;0,85636;0,92578;0,95734;-0,46151;-0,42298;-0,03853;-0,85924;-0,60601;-0,25323
2008-03-14;18,84937;18,89109;18,39878;18,54063;107200;0,00000;0;-0,01768;0,82156;0,42629;0,88738;0,91190;0,83590;0,85320;0,92371;0,95599;-0,46505;-0,43139;-0,03366;-0,87646;-0,61879;-0,25768
2008-03-17;18,14011;18,23190;17,93151;18,18184;4600;0,00000;0;-0,01935;0,80566;0,44370;0,88418;0,90927;0,83040;0,84888;0,92137;0,95449;-0,49116;-0,44334;-0,04781;-0,89872;-0,63196;-0,26676
2008-03-18;18,48222;18,93280;18,46553;18,89943;17600;0,00000;0;0,03947;0,83746;0,47297;0,88235;0,90750;0,83168;0,84784;0,91971;0,95333;-0,44876;-0,44443;-0,00434;-0,90689;-0,64485;-0,26204
2008-03-19;19,58364;19,58364;18,56566;18,56566;9200;0,00000;0;-0,01766;0,82267;0,52487;0,88001;0,90541;0,83005;0,84555;0,91779;0,95203;-0,43706;-0,44296;0,00589;-0,92007;-0,65770;-0,26236
2008-03-20;18,75758;19,16644;18,75758;19,16644;3700;0,00000;0;0,03236;0,84929;0,53210;0,87880;0,90402;0,83354;0,84589;0,91644;0,95100;-0,37499;-0,42936;0,05437;-0,92163;-0,67000;-0,25163
2008-03-24;19,78390;19,78390;19,28326;19,55861;20700;0,00000;0;0,02046;0,86667;0,54023;0,87833;0,90310;0,83957;0,84778;0,91545;0,95017;-0,29080;-0,40165;0,11085;-0,91579;-0,68141;-0,23438
2008-03-25;19,50021;19,55862;19,50021;19,54193;1800;0,00000;0;-0,00085;0,86593;0,49434;0,87784;0,90218;0,84436;0,84943;0,91447;0,94933;-0,22285;-0,36589;0,14304;-0,91006;-0,69199;-0,21806
2008-03-26;19,42511;19,42511;19,23319;19,32498;12100;0,00000;0;-0,01110;0,85632;0,47667;0,87700;0,90105;0,84654;0,85006;0,91332;0,94840;-0,18439;-0,32959;0,14520;-0,90794;-0,70196;-0,20598
2008-03-27;19,36670;19,40008;19,08300;19,08300;15700;0,00000;0;-0,01252;0,84560;0,46147;0,87577;0,89968;0,84636;0,84965;0,91198;0,94738;-0,17145;-0,29796;0,12651;-0,90972;-0,71153;-0,19819
2008-03-28;18,54063;19,08300;18,54063;18,82433;7600;0,00000;0;-0,01355;0,83413;0,46917;0,87413;0,89806;0,84414;0,84824;0,91044;0,94625;-0,18000;-0,27437;0,09437;-0,91548;-0,72089;-0,19459
2008-03-31;19,17479;19,17479;18,10674;19,14976;17900;0,00000;0;0,01729;0,84855;0,52621;0,87313;0,89684;0,84494;0,84827;0,90921;0,94528;-0,15868;-0,25123;0,09255;-0,91481;-0,72978;-0,18504
2008-04-01;19,27492;19,71716;19,27492;19,70881;9900;0,00000;0;0,02919;0,87333;0,53013;0,87314;0,89626;0,85010;0,85055;0,90850;0,94456;-0,09557;-0,22010;0,12452;-0,90392;-0,73773;-0,16619
2008-04-02;19,66709;20,00920;19,66709;19,83397;4300;0,00000;0;0,00635;0,87887;0,51222;0,87336;0,89583;0,85533;0,85312;0,90791;0,94391;-0,03506;-0,18309;0,14803;-0,89091;-0,74472;-0,14619
2008-04-03;19,71715;19,85066;19,71715;19,85066;500;0,00000;0;0,00084;0,87961;0,47616;0,87361;0,89543;0,85975;0,85553;0,90735;0,94327;0,01408;-0,14366;0,15774;-0,87777;-0,75077;-0,12700
2008-04-04;20,07595;20,07595;19,74218;19,74218;3700;0,00000;0;-0,00546;0,87481;0,46260;0,87365;0,89492;0,86249;0,85728;0,90671;0,94259;0,04377;-0,10617;0,14994;-0,86672;-0,75604;-0,11068
2008-04-07;19,88404;20,05926;19,83397;19,83397;3800;0,00000;0;0,00465;0,87887;0,44874;0,87386;0,89452;0,86547;0,85925;0,90616;0,94196;0,07386;-0,07017;0,14402;-0,85415;-0,76049;-0,09367
2008-04-08;19,81728;19,81728;19,67543;19,73384;2800;0,00000;0;-0,00505;0,87444;0,42110;0,87388;0,89403;0,86710;0,86063;0,90553;0,94128;0,08860;-0,03841;0,12701;-0,84351;-0,76424;-0,07927
2008-04-09;19,67543;19,67543;19,41676;19,41676;2200;0,00000;0;-0,01607;0,86039;0,41119;0,87335;0,89320;0,86588;0,86060;0,90463;0,94048;0,07384;-0,01596;0,08980;-0,83851;-0,76760;-0,07091
2008-04-10;19,38339;19,49187;19,35836;19,35836;6000;0,00000;0;-0,00301;0,85780;0,38475;0,87274;0,89232;0,86441;0,86035;0,90371;0,93966;0,05678;-0,00141;0,05819;-0,83434;-0,77061;-0,06374
2008-04-11;19,28326;19,28326;19,05797;19,05797;26400;0,00000;0;-0,01552;0,84449;0,37671;0,87163;0,89114;0,86079;0,85891;0,90253;0,93871;0,01880;0,00263;0,01617;-0,83523;-0,77351;-0,06171
2008-04-14;19,00791;19,06631;18,97453;18,99122;8100;0,00000;0;-0,00350;0,84153;0,34958;0,87045;0,88992;0,85728;0,85733;0,90133;0,93774;-0,01649;-0,00119;-0,01530;-0,83682;-0,77636;-0,06046
