Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2011-10-20;37,14304;37,14304;36,61242;36,86257;1100;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2011-10-21;37,34769;37,48414;37,34769;37,48414;2200;0,00000;0;0,01686;1,01686;;1,01686;1,01686;1,01686;1,01686;1,01686;1,01686;0,04958;0,02755;0,02204;0,01089;0,00557;0,00532
2011-10-24;37,48414;37,48414;37,48414;37,48414;0;0,00000;0;0,00000;1,01686;;1,01686;1,01686;1,01686;1,01686;1,01686;1,01686;0,08787;0,05227;0,03560;0,02126;0,01103;0,01023
2011-10-25;38,45441;38,58328;38,45441;38,51506;2800;0,00000;0;0,02750;1,04483;;1,01796;1,01755;1,02195;1,01940;1,01742;1,01714;0,19910;0,10201;0,09709;0,04918;0,02121;0,02797
2011-10-26;38,62118;38,71215;38,62118;38,66666;300;0,00000;0;0,00394;1,04894;;1,01917;1,01833;1,02685;1,02209;1,01804;1,01746;0,29607;0,15974;0,13633;0,07841;0,03369;0,04472
2011-10-27;39,79611;40,41768;39,79611;40,21302;1400;0,00000;0;0,03999;1,09089;;1,02199;1,02012;1,03850;1,02834;1,01948;1,01819;0,49203;0,24980;0,24222;0,13330;0,05219;0,08111
2011-10-28;40,18270;40,25092;40,15238;40,25092;2200;0,00000;0;0,00094;1,09192;;1,02473;1,02189;1,04821;1,03412;1,02092;1,01892;0,64297;0,34930;0,29367;0,18618;0,07398;0,11220
2011-10-31;39,41710;40,21302;39,41710;40,12206;400;0,00000;0;-0,00320;1,08842;;1,02723;1,02353;1,05552;1,03906;1,02225;1,01961;0,74362;0,44407;0,29956;0,23419;0,09725;0,13694
2011-11-01;38,28008;38,35588;38,15879;38,15879;6000;0,00000;0;-0,04893;1,03516;;1,02754;1,02382;1,05182;1,03871;1,02251;1,01977;0,65740;0,49335;0,16405;0,24540;0,11679;0,12862
2011-11-02;38,15879;38,15879;38,15879;38,15879;0;0,00000;0;0,00000;1,03516;;1,02784;1,02410;1,04879;1,03838;1,02276;1,01992;0,58235;0,51329;0,06906;0,25596;0,13365;0,12231
2011-11-03;39,45502;39,45502;39,31099;39,40195;2300;0,00000;0;0,03258;1,06889;;1,02945;1,02521;1,05245;1,04116;1,02367;1,02041;0,61608;0,53578;0,08030;0,28767;0,15096;0,13671
