Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2011-10-20;36,88461;37,21394;36,51869;37,21394;1600;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2011-10-21;37,26517;37,45545;37,26517;37,45545;1100;0,00000;0;0,00649;1,00649;;1,00649;1,00649;1,00649;1,00649;1,00649;1,00649;0,01927;0,01070;0,00856;0,00423;0,00216;0,00207
2011-10-24;37,45545;37,45545;37,45545;37,45545;0;0,00000;0;0,00000;1,00649;;1,00649;1,00649;1,00649;1,00649;1,00649;1,00649;0,03414;0,02031;0,01383;0,00826;0,00429;0,00397
2011-10-25;37,39690;37,39690;37,26517;37,35299;3500;0,00000;0;-0,00274;1,00374;;1,00638;1,00642;1,00599;1,00624;1,00644;1,00646;0,03723;0,02604;0,01119;0,01030;0,00589;0,00441
2011-10-26;37,55059;37,55059;37,38227;37,38227;500;0,00000;0;0,00078;1,00452;;1,00631;1,00637;1,00572;1,00608;1,00640;1,00644;0,04157;0,03066;0,01091;0,01274;0,00739;0,00536
2011-10-27;37,15540;38,66298;37,15540;38,55321;3300;0,00000;0;0,03132;1,03599;;1,00747;1,00711;1,01123;1,00880;1,00698;1,00674;0,13790;0,05973;0,07817;0,03558;0,01262;0,02296
2011-10-28;38,17998;38,28244;38,17998;38,28244;3100;0,00000;0;-0,00702;1,02871;;1,00831;1,00764;1,01441;1,01061;1,00741;1,00696;0,19020;0,09275;0,09745;0,05258;0,01912;0,03346
2011-10-31;37,29446;37,35301;37,24323;37,34569;2400;0,00000;0;-0,02447;1,00354;;1,00812;1,00754;1,01243;1,00997;1,00734;1,00692;0,15428;0,10753;0,04675;0,05232;0,02394;0,02838
2011-11-01;36,25524;36,36501;36,25524;36,36501;8200;0,00000;0;-0,02626;0,97719;;1,00691;1,00679;1,00602;1,00699;1,00674;1,00663;0,04615;0,09335;-0,04720;0,03487;0,02538;0,00949
2011-11-02;36,36501;36,36501;36,36501;36,36501;0;0,00000;0;0,00000;0,97719;;1,00574;1,00606;1,00078;1,00428;1,00615;1,00633;-0,03909;0,06368;-0,10277;0,01824;0,02452;-0,00628
2011-11-03;37,15540;37,35299;37,15540;37,35299;300;0,00000;0;0,02717;1,00374;;1,00566;1,00600;1,00132;1,00423;1,00611;1,00631;-0,02662;0,04392;-0,07054;0,01969;0,02398;-0,00428
2011-11-04;37,63109;37,63109;36,55529;36,89193;500;0,00000;0;-0,01234;0,99135;;1,00510;1,00564;0,99950;1,00306;1,00581;1,00616;-0,05332;0,02304;-0,07636;0,01299;0,02282;-0,00983
2011-11-07;37,05294;37,06758;37,05294;37,06758;800;0,00000;0;0,00476;0,99607;;1,00475;1,00540;0,99888;1,00242;1,00562;1,00606;-0,05963;0,00554;-0,06517;0,00968;0,02152;-0,01184
2011-11-08;37,52864;37,52864;37,52864;37,52864;100;0,00000;0;0,01244;1,00846;;1,00489;1,00548;1,00062;1,00297;1,00568;1,00608;-0,02710;-0,00129;-0,02582;0,01459;0,02087;-0,00627
2011-11-09;36,98708;36,98708;35,81614;35,81614;1500;0,00000;0;-0,04563;0,96244;;1,00323;1,00442;0,99368;0,99929;1,00482;1,00565;-0,13793;-0,02961;-0,10831;-0,01073;0,01804;-0,02878
2011-11-10;36,29915;36,57725;36,29915;36,57725;600;0,00000;0;0,02125;0,98289;;1,00243;1,00388;0,99172;0,99780;1,00439;1,00542;-0,16246;-0,05695;-0,10551;-0,02151;0,01467;-0,03618
2011-11-11;37,15540;37,15540;37,03099;37,10418;2300;0,00000;0;0,01441;0,99705;;1,00222;1,00372;0,99269;0,99773;1,00424;1,00534;-0,13780;-0,07349;-0,06431;-0,02254;0,01161;-0,03416
2011-11-14;36,48942;36,51138;36,48942;36,51138;1000;0,00000;0;-0,01598;0,98112;;1,00139;1,00316;0,99058;0,99622;1,00378;1,00510;-0,16420;-0,09197;-0,07223;-0,03389;0,00802;-0,04192
2011-11-15;36,54066;36,76021;36,54066;36,76021;400;0,00000;0;0,00682;0,98781;;1,00086;1,00278;0,99008;0,99545;1,00347;1,00492;-0,16316;-0,10642;-0,05675;-0,04033;0,00434;-0,04467
2011-11-16;36,53333;36,53333;36,53333;36,53333;800;0,00000;0;-0,00617;0,98171;0,51684;1,00011;1,00226;0,98856;0,99421;1,00304;1,00469;-0,17859;-0,12102;-0,05757;-0,05042;0,00029;-0,05071
2011-11-17;36,12350;36,12350;35,63317;35,63317;400;0,00000;0;-0,02464;0,95752;0,55334;0,99844;1,00115;0,98291;0,99087;1,00214;1,00422;-0,26045;-0,14916;-0,11128;-0,07577;-0,00516;-0,07061
2011-11-18;36,03569;36,22597;36,03569;36,13815;1600;0,00000;0;0,01417;0,97109;0,55710;0,99737;1,00041;0,98077;0,98907;1,00152;1,00389;-0,28133;-0,17579;-0,10553;-0,09103;-0,01114;-0,07989
2011-11-21;35,48681;35,53804;35,42094;35,53804;1700;0,00000;0;-0,01661;0,95497;0,57235;0,99570;0,99929;0,97607;0,98597;1,00060;1,00341;-0,34235;-0,20930;-0,13305;-0,11603;-0,01826;-0,09777
2011-11-22;35,61123;35,71369;35,53805;35,59659;1000;0,00000;0;0,00165;0,95654;0,53457;0,99417;0,99823;0,97252;0,98330;0,99973;1,00294;-0,38160;-0,24392;-0,13767;-0,13876;-0,02625;-0,11251
2011-11-23;34,81352;34,81352;34,81352;34,81352;200;0,00000;0;-0,02200;0,93550;0,55824;0,99187;0,99668;0,96579;0,97895;0,99845;1,00227;-0,47046;-0,28940;-0,18105;-0,17406;-0,03583;-0,13823
2011-11-25;34,76229;34,76229;34,76229;34,76229;100;0,00000;0;-0,00147;0,93412;0,50995;0,98960;0,99514;0,96003;0,97488;0,99718;1,00159;-0,53880;-0,33943;-0,19937;-0,20849;-0,04679;-0,16170
2011-11-28;35,52340;35,52340;35,25994;35,25994;3000;0,00000;0;0,01432;0,94749;0,53387;0,98795;0,99396;0,95775;0,97239;0,99620;1,00105;-0,54651;-0,38095;-0,16556;-0,23246;-0,05834;-0,17412
2011-11-29;35,39899;35,47217;35,25262;35,25262;1100;0,00000;0;-0,00021;0,94730;0,50393;0,98636;0,99281;0,95585;0,97010;0,99523;1,00052;-0,54691;-0,41421;-0,13270;-0,25530;-0,07036;-0,18493
2011-11-30;36,68702;36,79680;36,68702;36,72361;1100;0,00000;0;0,04173;0,98682;0,60301;0,98637;0,99266;0,96148;0,97162;0,99506;1,00038;-0,42364;-0,41610;-0,00755;-0,25116;-0,08121;-0,16994
2011-12-01;36,35037;36,38697;36,30647;36,30647;900;0,00000;0;-0,01136;0,97561;0,58530;0,98595;0,99224;0,96405;0,97199;0,99468;1,00014;-0,35552;-0,40397;0,04845;-0,25439;-0,09144;-0,16295
2011-12-02;36,30647;36,30647;36,30647;36,30647;0;0,00000;0;0,00000;0,97561;0,52956;0,98555;0,99183;0,96615;0,97232;0,99430;0,99989;-0,29809;-0,38277;0,08468;-0,25735;-0,10108;-0,15626
2011-12-05;36,48211;36,48211;35,99910;35,99910;3900;0,00000;0;-0,00847;0,96736;0,52513;0,98483;0,99123;0,96637;0,97187;0,99377;0,99957;-0,27422;-0,36104;0,08682;-0,26542;-0,11050;-0,15492
2011-12-06;36,00641;36,02105;36,00641;36,02105;500;0,00000;0;0,00061;0,96795;0,47721;0,98417;0,99065;0,96666;0,97151;0,99325;0,99925;-0,25064;-0,33895;0,08831;-0,27259;-0,11966;-0,15293
2011-12-07;36,24060;36,60652;36,24060;36,26255;1200;0,00000;0;0,00670;0,97443;0,48752;0,98379;0,99025;0,96807;0,97178;0,99288;0,99901;-0,21005;-0,31315;0,10311;-0,27505;-0,12833;-0,14672
2011-12-08;36,26255;36,26255;36,26255;36,26255;0;0,00000;0;0,00000;0,97443;0,44109;0,98342;0,98986;0,96923;0,97202;0,99252;0,99876;-0,17585;-0,28568;0,10984;-0,27725;-0,13653;-0,14072
2011-12-09;36,11619;36,36501;36,11619;36,36501;2300;0,00000;0;0,00283;0,97719;0,42278;0,98318;0,98955;0,97068;0,97249;0,99221;0,99855;-0,13888;-0,25631;0,11744;-0,27742;-0,14421;-0,13321
2011-12-12;36,36501;36,36501;36,36501;36,36501;0;0,00000;0;0,00000;0,97719;0,38251;0,98294;0,98924;0,97186;0,97291;0,99192;0,99834;-0,10833;-0,22671;0,11838;-0,27744;-0,15139;-0,12606
2011-12-13;35,91126;39,51190;35,64780;35,90395;34100;0,00000;0;-0,01268;0,96480;0,71409;0,98223;0,98864;0,97058;0,97218;0,99138;0,99800;-0,11994;-0,20535;0,08541;-0,28540;-0,15853;-0,12687
2011-12-14;36,12350;36,12350;35,56731;35,63317;8400;0,00000;0;-0,00754;0,95752;0,69905;0,98126;0,98787;0,96820;0,97084;0,99071;0,99760;-0,14927;-0,19413;0,04486;-0,29758;-0,16588;-0,13171
2011-12-15;35,96982;36,03568;35,88931;35,88931;3500;0,00000;0;0,00719;0,96441;0,67081;0,98060;0,98729;0,96751;0,97026;0,99019;0,99727;-0,15012;-0,18533;0,03521;-0,30455;-0,17313;-0,13142
2011-12-16;36,01373;36,01373;35,69904;35,70636;2900;0,00000;0;-0,00510;0,95949;0,63690;0,97977;0,98661;0,96605;0,96928;0,98958;0,99689;-0,16366;-0,18099;0,01733;-0,31423;-0,18045;-0,13379
2011-12-19;35,83810;35,83810;35,47950;35,47950;21000;0,00000;0;-0,00635;0,95339;0,61039;0,97874;0,98579;0,96375;0,96784;0,98886;0,99646;-0,19051;-0,18290;-0,00761;-0,32728;-0,18800;-0,13928
2011-12-20;36,31267;36,31267;36,31267;36,31267;400;0,23300;0;0,02348;0,97578;0,63161;0,97862;0,98554;0,96594;0,96856;0,98860;0,99625;-0,14291;-0,17490;0,03199;-0,32494;-0,19499;-0,12995
2011-12-21;36,08469;36,26854;35,96703;36,26118;3000;0,00000;0;-0,00142;0,97440;0,60437;0,97846;0,98526;0,96748;0,96909;0,98832;0,99604;-0,10809;-0,16154;0,05345;-0,32345;-0,20149;-0,12196
2011-12-22;36,26854;36,37149;36,22442;36,37149;3300;0,00000;0;0,00304;0,97736;0,56082;0,97841;0,98507;0,96927;0,96984;0,98811;0,99585;-0,07078;-0,14338;0,07260;-0,31994;-0,20745;-0,11250
2011-12-23;36,48181;36,76860;36,34944;36,44504;18300;0,00000;0;0,00202;0,97934;0,54733;0,97845;0,98493;0,97110;0,97070;0,98793;0,99569;-0,03488;-0,12168;0,08681;-0,31515;-0,21283;-0,10232
2011-12-27;36,63624;36,63624;36,53328;36,62888;15100;0,00000;0;0,00504;0,98428;0,51341;0,97868;0,98491;0,97350;0,97194;0,98786;0,99557;0,00832;-0,09568;0,10400;-0,30721;-0,21751;-0,08970
2011-12-28;36,59211;36,59211;36,03323;36,23178;11300;0,00000;0;-0,01084;0,97361;0,52125;0,97848;0,98463;0,97352;0,97209;0,98758;0,99535;0,01039;-0,07447;0,08485;-0,30645;-0,22190;-0,08455
2011-12-29;36,43033;36,64359;36,41562;36,60682;3900;0,00000;0;0,01035;0,98369;0,51082;0,97868;0,98461;0,97537;0,97314;0,98750;0,99524;0,04181;-0,05121;0,09302;-0,29900;-0,22568;-0,07332
2011-12-30;36,76860;36,96715;36,76125;36,93038;4800;0,00000;0;0,00884;0,99238;0,49649;0,97922;0,98480;0,97846;0,97489;0,98760;0,99521;0,09176;-0,02262;0,11437;-0,28608;-0,22862;-0,05746
2012-01-03;37,83489;37,83489;37,44514;37,44514;4400;0,00000;0;0,01394;1,00621;0,53535;0,98028;0,98533;0,98351;0,97774;0,98797;0,99532;0,17091;0,01609;0,15482;-0,26462;-0,23037;-0,03425
2012-01-04;37,62163;37,62163;37,07010;37,07010;1700;0,00000;0;-0,01002;0,99613;0,53689;0,98090;0,98560;0,98580;0,97941;0,98813;0,99533;0,20106;0,05308;0,14798;-0,25062;-0,23135;-0,01927
2012-01-05;36,98921;36,98921;36,46709;36,58475;500;0,00000;0;-0,01309;0,98309;0,54319;0,98099;0,98553;0,98531;0,97975;0,98803;0,99521;0,18367;0,07920;0,10447;-0,24566;-0,23203;-0,01363
2012-01-06;36,58475;36,58475;36,58475;36,58475;0;0,00000;0;0,00000;0,98309;0,49145;0,98107;0,98547;0,98491;0,98005;0,98793;0,99509;0,16796;0,09695;0,07100;-0,24081;-0,23245;-0,00836
2012-01-09;36,48916;36,57740;36,44504;36,57740;6800;0,00000;0;-0,00020;0,98290;0,45796;0,98114;0,98541;0,98454;0,98031;0,98783;0,99496;0,15314;0,10819;0,04495;-0,23621;-0,23263;-0,00357
2012-01-10;36,95979;36,98920;36,87890;36,87890;22000;0,00000;0;0,00824;0,99100;0,45356;0,98153;0,98555;0,98571;0,98128;0,98789;0,99492;0,16384;0,11932;0,04452;-0,22642;-0,23234;0,00592
2012-01-11;36,49652;36,73183;36,48181;36,73183;6400;0,00000;0;-0,00399;0,98705;0,44818;0,98174;0,98558;0,98596;0,98181;0,98788;0,99485;0,15863;0,12718;0,03145;-0,21956;-0,23173;0,01218
2012-01-12;36,57740;36,69506;36,57740;36,69506;4700;0,00000;0;-0,00100;0,98606;0,42021;0,98191;0,98560;0,98597;0,98219;0,98784;0,99476;0,14980;0,13171;0,01809;-0,21356;-0,23088;0,01732
2012-01-13;36,32001;36,32001;36,18764;36,20971;13000;0,00000;0;-0,01323;0,97301;0,42851;0,98156;0,98529;0,98362;0,98136;0,98755;0,99454;0,10246;0,12586;-0,02340;-0,21624;-0,23019;0,01395
2012-01-17;36,34944;36,63624;36,34944;36,45975;8400;0,00000;0;0,00691;0,97973;0,42832;0,98149;0,98515;0,98291;0,98121;0,98739;0,99439;0,08415;0,11752;-0,03337;-0,21430;-0,22945;0,01515
2012-01-18;36,75388;36,82742;36,59210;36,80536;3300;0,00000;0;0,00948;0,98902;0,42255;0,98179;0,98524;0,98402;0,98192;0,98742;0,99434;0,09641;0,11329;-0,01688;-0,20630;-0,22837;0,02207
2012-01-19;36,92302;36,93773;36,82007;36,88625;1800;0,00000;0;0,00220;0,99119;0,39491;0,98216;0,98539;0,98533;0,98276;0,98750;0,99431;0,11138;0,11291;-0,00154;-0,19716;-0,22692;0,02977
2012-01-20;36,82743;36,84214;36,82743;36,84214;600;0,00000;0;-0,00120;0,99001;0,36290;0,98246;0,98551;0,98618;0,98342;0,98755;0,99427;0,11831;0,11399;0,00432;-0,18912;-0,22517;0,03605
2012-01-23;36,98921;37,03333;36,89361;37,03333;2900;0,00000;0;0,00519;0,99515;0,34655;0,98296;0,98574;0,98781;0,98449;0,98770;0,99428;0,13765;0,11872;0,01892;-0,17802;-0,22300;0,04497
2012-01-24;36,62153;36,82008;36,55534;36,73183;10400;0,00000;0;-0,00814;0,98705;0,35907;0,98312;0,98578;0,98767;0,98472;0,98769;0,99420;0,12718;0,12041;0,00676;-0,17265;-0,22068;0,04803
