Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2016-09-16;23,03715;23,06002;22,98226;23,06002;5200;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2016-09-19;23,16523;23,21098;23,08289;23,11034;8400;0,00000;0;0,00218;1,00218;;1,00218;1,00218;1,00218;1,00218;1,00218;1,00218;0,00401;0,00223;0,00178;0,00088;0,00045;0,00043
2016-09-20;23,33907;23,33907;23,14236;23,14694;7400;0,00000;0;0,00158;1,00377;;1,00224;1,00222;1,00247;1,00233;1,00221;1,00220;0,01003;0,00543;0,00460;0,00236;0,00112;0,00125
2016-09-21;23,23842;23,37566;23,11034;23,37566;10500;0,00000;0;0,00988;1,01369;;1,00269;1,00250;1,00451;1,00336;1,00244;1,00231;0,03288;0,01473;0,01815;0,00778;0,00289;0,00488
2016-09-22;23,65928;23,65928;23,49460;23,54949;10900;0,00000;0;0,00744;1,02123;;1,00342;1,00297;1,00755;1,00498;1,00281;1,00250;0,06427;0,02946;0,03481;0,01598;0,00575;0,01023
2016-09-23;23,52204;23,52204;23,44427;23,46440;12900;0,00000;0;-0,00361;1,01754;;1,00397;1,00333;1,00936;1,00612;1,00310;1,00265;0,08135;0,04353;0,03782;0,02229;0,00882;0,01347
2016-09-26;23,48544;23,48544;23,26587;23,31161;8600;0,00000;0;-0,00651;1,01091;;1,00425;1,00351;1,00965;1,00656;1,00326;1,00273;0,08161;0,05316;0,02844;0,02561;0,01155;0,01406
2016-09-27;23,28417;23,36651;23,23842;23,33449;22400;0,00000;0;0,00098;1,01190;;1,00455;1,00372;1,01006;1,00705;1,00343;1,00282;0,08271;0,06026;0,02244;0,02917;0,01411;0,01506
2016-09-28;23,52204;23,52204;23,27502;23,39853;1300;0,00000;0;0,00274;1,01468;;1,00494;1,00399;1,01090;1,00774;1,00365;1,00294;0,08774;0,06661;0,02113;0,03366;0,01669;0,01697
2016-09-29;23,56779;23,56779;23,17439;23,22928;13600;0,00000;0;-0,00723;1,00734;;1,00504;1,00407;1,01025;1,00770;1,00373;1,00298;0,07717;0,06898;0,00820;0,03495;0,01890;0,01605
2016-09-30;23,32076;23,40310;23,30704;23,36651;4700;0,00000;0;0,00591;1,01329;;1,00536;1,00430;1,01080;1,00821;1,00391;1,00309;0,07897;0,07116;0,00780;0,03857;0,02111;0,01746
2016-10-03;23,51289;23,51289;23,20183;23,27502;9400;0,00000;0;-0,00392;1,00932;;1,00552;1,00443;1,01053;1,00831;1,00402;1,00315;0,07217;0,07138;0,00079;0,04040;0,02314;0,01726
2016-10-04;23,45799;23,45799;23,11948;23,12863;6800;0,00000;0;-0,00629;1,00298;;1,00542;1,00439;1,00916;1,00783;1,00400;1,00315;0,05435;0,06778;-0,01343;0,03956;0,02477;0,01479
2016-10-05;23,23842;23,24757;23,18353;23,20183;5900;0,00000;0;0,00316;1,00615;;1,00545;1,00443;1,00861;1,00767;1,00404;1,00318;0,04561;0,06314;-0,01753;0,04001;0,02620;0,01382
2016-10-06;23,23843;23,24757;23,13779;23,22013;5600;0,00000;0;0,00079;1,00694;;1,00550;1,00450;1,00831;1,00761;1,00410;1,00322;0,03970;0,05828;-0,01858;0,04075;0,02750;0,01325
2016-10-07;23,32992;23,32992;23,02800;23,14694;17300;0,00000;0;-0,00315;1,00377;;1,00544;1,00448;1,00748;1,00726;1,00409;1,00322;0,02877;0,05221;-0,02343;0,04015;0,02858;0,01157
2016-10-10;23,25672;23,31162;23,23843;23,23843;10700;0,00000;0;0,00395;1,00774;;1,00553;1,00456;1,00753;1,00730;1,00417;1,00327;0,02719;0,04709;-0,01990;0,04116;0,02961;0,01155
2016-10-11;23,32077;23,32077;22,95847;22,96396;8800;0,00000;0;-0,01181;0,99583;;1,00515;1,00434;1,00540;1,00626;1,00400;1,00319;0,00374;0,03826;-0,03452;0,03729;0,03022;0,00707
2016-10-12;23,04630;23,04630;22,95480;23,04630;8300;0,00000;0;0,00359;0,99940;;1,00492;1,00422;1,00431;1,00564;1,00391;1,00315;-0,00811;0,02885;-0,03696;0,03503;0,03058;0,00445
2016-10-13;22,98225;23,00970;22,82672;23,00970;11200;0,00000;0;-0,00159;0,99782;0,18739;1,00464;1,00406;1,00313;1,00493;1,00379;1,00310;-0,02021;0,01892;-0,03914;0,03222;0,03070;0,00152
2016-10-14;23,13778;23,13778;22,95846;22,95846;1000;0,00000;0;-0,00223;0,99560;0,18663;1,00429;1,00385;1,00176;1,00408;1,00363;1,00303;-0,03356;0,00833;-0,04189;0,02863;0,03056;-0,00193
2016-10-17;22,94108;22,94108;22,89991;22,89991;2800;0,00000;0;-0,00255;0,99306;0,17443;1,00385;1,00359;1,00018;1,00308;1,00342;1,00293;-0,04830;-0,00308;-0,04522;0,02417;0,03011;-0,00594
2016-10-18;22,91821;23,06002;22,91821;23,06002;1600;0,00000;0;0,00699;1,00000;0,17306;1,00370;1,00350;1,00015;1,00280;1,00335;1,00290;-0,04652;-0,01182;-0,03470;0,02272;0,02961;-0,00689
2016-10-19;23,07374;23,11857;23,05544;23,11857;1500;0,00000;0;0,00254;1,00254;0,16259;1,00365;1,00347;1,00058;1,00277;1,00333;1,00289;-0,03994;-0,01747;-0,02247;0,02234;0,02913;-0,00678
2016-10-20;23,18353;23,18353;22,99140;23,02800;13100;0,00000;0;-0,00392;0,99861;0,16541;1,00345;1,00335;1,00022;1,00239;1,00324;1,00285;-0,04154;-0,02230;-0,01924;0,02039;0,02856;-0,00817
2016-10-21;22,97310;23,02800;22,95481;23,01427;7500;0,00000;0;-0,00060;0,99802;0,15662;1,00324;1,00322;0,99982;1,00200;1,00314;1,00280;-0,04342;-0,02654;-0,01688;0,01828;0,02791;-0,00963
2016-10-24;23,22927;23,22927;23,08289;23,09204;4500;0,00000;0;0,00338;1,00139;0,16218;1,00317;1,00318;1,00011;1,00194;1,00310;1,00279;-0,03820;-0,02888;-0,00932;0,01763;0,02727;-0,00964
2016-10-25;23,22928;23,22928;23,04630;23,05087;9900;0,00000;0;-0,00178;0,99960;0,16416;1,00303;1,00309;1,00002;1,00173;1,00303;1,00276;-0,03695;-0,03050;-0,00646;0,01627;0,02660;-0,01033
2016-10-26;22,98225;23,05544;22,95480;23,04630;17000;0,00000;0;-0,00020;0,99940;0,15811;1,00289;1,00300;0,99990;1,00152;1,00296;1,00272;-0,03592;-0,03158;-0,00434;0,01489;0,02589;-0,01100
2016-10-27;23,08289;23,08289;22,90906;22,94566;54100;0,00000;0;-0,00437;0,99504;0,15961;1,00258;1,00280;0,99902;1,00093;1,00281;1,00265;-0,04273;-0,03382;-0,00892;0,01181;0,02506;-0,01325
2016-10-28;22,97310;23,05545;22,87246;22,91821;7400;0,00000;0;-0,00120;0,99385;0,16184;1,00224;1,00258;0,99808;1,00029;1,00263;1,00256;-0,04977;-0,03701;-0,01276;0,00838;0,02409;-0,01571
2016-10-31;23,08289;23,08289;22,96396;22,97310;30100;0,00000;0;0,00240;0,99623;0,16211;1,00200;1,00242;0,99774;0,99992;1,00250;1,00250;-0,05034;-0,03968;-0,01066;0,00608;0,02306;-0,01698
2016-11-01;22,89076;22,89076;22,74438;22,80659;9200;0,00000;0;-0,00725;0,98901;0,16845;1,00149;1,00209;0,99616;0,99892;1,00223;1,00236;-0,06349;-0,04444;-0,01905;0,00097;0,02181;-0,02085
2016-11-02;22,91821;22,91821;22,63002;22,63002;163300;0,00000;0;-0,00774;0,98135;0,17986;1,00070;1,00158;0,99346;0,99733;1,00182;1,00215;-0,08716;-0,05299;-0,03417;-0,00700;0,02021;-0,02720
2016-11-03;22,62087;22,62087;22,49279;22,49279;8500;0,00000;0;-0,00606;0,97540;0,17580;0,99971;1,00093;0,99018;0,99533;1,00130;1,00189;-0,11566;-0,06553;-0,05013;-0,01699;0,01816;-0,03514
2016-11-04;22,57512;22,66204;22,52938;22,54310;42600;0,00000;0;0,00224;0,97758;0,17517;0,99884;1,00036;0,98789;0,99372;1,00083;1,00165;-0,13266;-0,07896;-0,05370;-0,02561;0,01577;-0,04138
2016-11-07;22,84502;22,97310;22,82672;22,92461;9000;0,00000;0;0,01692;0,99413;0,19944;0,99866;1,00020;0,98902;0,99376;1,00070;1,00157;-0,11403;-0,08597;-0,02805;-0,02712;0,01346;-0,04058
2016-11-08;22,97310;23,17438;22,96395;23,11491;12100;0,00000;0;0,00830;1,00238;0,20424;0,99880;1,00026;0,99145;0,99454;1,00073;1,00158;-0,08295;-0,08537;0,00242;-0,02522;0,01140;-0,03662
2016-11-09;22,87246;23,42140;22,87246;23,38481;8900;0,00000;0;0,01168;1,01408;0,23706;0,99940;1,00060;0,99557;0,99632;1,00099;1,00170;-0,03613;-0,07552;0,03939;-0,01866;0,00981;-0,02848
2016-11-10;23,27502;23,46806;23,18353;23,31161;25600;0,00000;0;-0,00313;1,01091;0,24159;0,99985;1,00085;0,99836;0,99764;1,00119;1,00180;-0,00487;-0,06139;0,05652;-0,01369;0,00858;-0,02228
2016-11-11;23,30247;23,30247;23,20549;23,27502;36100;0,00000;0;-0,00157;1,00932;0,22868;1,00022;1,00106;1,00035;0,99871;1,00135;1,00187;0,01676;-0,04576;0,06251;-0,00959;0,00764;-0,01723
2016-11-14;23,48545;23,48545;23,19269;23,30247;93700;0,00000;0;0,00118;1,01051;0,23479;1,00063;1,00130;1,00220;0,99978;1,00153;1,00196;0,03570;-0,02946;0,06516;-0,00520;0,00698;-0,01218
2016-11-15;23,36651;23,43970;23,35279;23,42598;13400;0,00000;0;0,00530;1,01587;0,22550;1,00123;1,00166;1,00468;1,00124;1,00182;1,00209;0,05999;-0,01157;0,07156;0,00114;0,00668;-0,00554
2016-11-16;23,46715;23,46715;23,38481;23,43970;22800;0,00000;0;0,00059;1,01646;0,21186;1,00182;1,00202;1,00683;1,00263;1,00211;1,00224;0,07942;0,00663;0,07280;0,00743;0,00672;0,00071
2016-11-17;23,50375;23,55864;23,49002;23,54949;4800;0,00000;0;0,00468;1,02123;0,20301;1,00258;1,00250;1,00944;1,00432;1,00248;1,00243;0,10251;0,02580;0,07670;0,01534;0,00715;0,00818
2016-11-18;23,70502;23,70502;23,48544;23,52204;6500;0,00000;0;-0,00117;1,02004;0,20459;1,00327;1,00293;1,01137;1,00575;1,00283;1,00260;0,11723;0,04409;0,07314;0,02238;0,00791;0,01447
2016-11-21;23,73247;23,73247;23,59524;23,65928;11500;0,00000;0;0,00583;1,02599;0,20515;1,00416;1,00350;1,01403;1,00759;1,00329;1,00283;0,13838;0,06295;0,07543;0,03148;0,00908;0,02240
2016-11-22;23,72332;23,74162;23,67757;23,72698;17300;0,00000;0;0,00286;1,02892;0,19345;1,00513;1,00413;1,01674;1,00953;1,00380;1,00309;0,15878;0,08212;0,07666;0,04132;0,01067;0,03065
2016-11-23;23,77821;23,77821;23,64647;23,72789;17300;0,00000;0;0,00004;1,02896;0,18757;1,00607;1,00474;1,01896;1,01129;1,00430;1,00335;0,17302;0,10030;0,07272;0,05068;0,01263;0,03805
2016-11-25;23,83310;23,83310;23,80566;23,82396;8300;0,00000;0;0,00405;1,03313;0,17973;1,00713;1,00544;1,02154;1,01328;1,00487;1,00365;0,18987;0,11821;0,07166;0,06126;0,01500;0,04626
2016-11-28;23,94290;23,94290;23,76907;23,80566;7400;0,00000;0;-0,00077;1,03233;0,17917;1,00811;1,00610;1,02350;1,01501;1,00541;1,00393;0,19945;0,13446;0,06499;0,07098;0,01772;0,05326
2016-11-29;23,80566;23,87885;23,75534;23,82396;10100;0,00000;0;0,00077;1,03313;0,17387;1,00910;1,00677;1,02525;1,01666;1,00596;1,00422;0,20614;0,14880;0,05734;0,08053;0,02075;0,05978
2016-11-30;23,78736;23,83311;23,72332;23,74162;7300;0,00000;0;-0,00346;1,02956;0,16776;1,00990;1,00733;1,02603;1,01783;1,00643;1,00448;0,20246;0,15953;0,04293;0,08814;0,02399;0,06415
2016-12-01;23,86055;23,86055;23,52204;23,53942;19400;0,00000;0;-0,00852;1,02079;0,18403;1,01033;1,00767;1,02508;1,01810;1,00671;1,00464;0,18115;0,16385;0,01729;0,09180;0,02723;0,06457
2016-12-02;23,68672;23,68672;23,54034;23,58608;17200;0,00000;0;0,00198;1,02281;0,18053;1,01082;1,00804;1,02467;1,01853;1,00703;1,00482;0,16610;0,16430;0,00180;0,09606;0,03051;0,06555
2016-12-05;23,81481;23,81481;23,66385;23,68672;3500;0,00000;0;0,00427;1,02718;0,18512;1,01146;1,00851;1,02512;1,01931;1,00743;1,00504;0,16045;0,16353;-0,00308;0,10183;0,03389;0,06794
2016-12-06;23,69588;23,79652;23,69588;23,79652;11000;0,00000;0;0,00464;1,03194;0,17794;1,01226;1,00909;1,02636;1,02046;1,00791;1,00531;0,16296;0,16342;-0,00046;0,10920;0,03744;0,07175
2016-12-07;23,77822;24,06001;23,75077;24,05269;8100;0,00000;0;0,01077;1,04305;0,19045;1,01347;1,00993;1,02940;1,02251;1,00861;1,00568;0,18349;0,16743;0,01606;0,12065;0,04136;0,07929
2016-12-08;24,15332;24,17162;24,03439;24,12588;9300;0,00000;0;0,00304;1,04622;0,18538;1,01475;1,01083;1,03246;1,02467;1,00936;1,00609;0,20333;0,17461;0,02872;0,13278;0,04565;0,08713
2016-12-09;24,34546;24,34546;24,17162;24,25397;11600;0,00000;0;0,00531;1,05178;0,18864;1,01620;1,01184;1,03597;1,02713;1,01020;1,00654;0,22678;0,18505;0,04173;0,14651;0,05036;0,09615
2016-12-12;24,29971;24,31801;24,20822;24,24482;6100;0,00000;0;-0,00038;1,05138;0,18113;1,01758;1,01281;1,03877;1,02934;1,01101;1,00699;0,24183;0,19640;0,04543;0,15935;0,05543;0,10392
