Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2016-09-15;22,42081;22,66295;22,36700;22,65398;4200;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2016-09-16;22,53739;22,54636;22,46564;22,46564;6000;0,00000;0;-0,00831;0,99169;;0,99169;0,99169;0,99169;0,99169;0,99169;0,99169;-0,01502;-0,00835;-0,00668;-0,00330;-0,00169;-0,00161
2016-09-19;22,64501;22,68985;22,52842;22,53739;11700;0,00000;0;0,00319;0,99485;;0,99181;0,99176;0,99226;0,99197;0,99175;0,99172;-0,02090;-0,01349;-0,00741;-0,00518;-0,00290;-0,00228
2016-09-20;22,57596;22,61811;22,51049;22,55533;9500;0,00000;0;0,00080;0,99565;;0,99196;0,99186;0,99288;0,99231;0,99183;0,99176;-0,02384;-0,01700;-0,00684;-0,00666;-0,00391;-0,00275
2016-09-21;22,65399;22,68089;22,51049;22,68089;36800;0,00000;0;0,00557;1,00119;;0,99232;0,99209;0,99439;0,99312;0,99201;0,99185;-0,01585;-0,01665;0,00081;-0,00587;-0,00433;-0,00153
2016-09-22;22,82887;22,91406;22,82887;22,84232;6700;0,00000;0;0,00712;1,00831;;0,99295;0,99249;0,99692;0,99450;0,99233;0,99201;0,00347;-0,01120;0,01467;-0,00228;-0,00395;0,00168
2016-09-23;22,89613;22,89613;22,76160;22,79748;3700;0,00000;0;-0,00196;1,00633;;0,99347;0,99283;0,99863;0,99557;0,99261;0,99216;0,01499;-0,00457;0,01956;0,00036;-0,00325;0,00361
2016-09-26;22,77057;22,77057;22,52036;22,56430;13800;0,00000;0;-0,01023;0,99604;;0,99358;0,99291;0,99816;0,99562;0,99268;0,99220;0,00524;-0,00221;0,00745;-0,00122;-0,00296;0,00174
2016-09-27;22,61811;22,68089;22,44771;22,68089;5200;0,00000;0;0,00517;1,00119;;0,99387;0,99312;0,99871;0,99612;0,99285;0,99229;0,00684;-0,00012;0,00696;-0,00068;-0,00266;0,00198
2016-09-28;22,75443;22,76160;22,64501;22,67640;1700;0,00000;0;-0,00020;1,00099;;0,99415;0,99331;0,99913;0,99656;0,99301;0,99237;0,00766;0,00162;0,00604;-0,00024;-0,00236;0,00212
2016-09-29;22,84232;22,84232;22,56430;22,64502;28100;0,00000;0;-0,00138;0,99960;;0,99437;0,99347;0,99921;0,99684;0,99314;0,99244;0,00571;0,00252;0,00320;-0,00037;-0,00214;0,00177
2016-09-30;22,68088;22,87819;22,68088;22,84052;7800;0,00000;0;0,00863;1,00823;;0,99491;0,99383;1,00085;0,99788;0,99344;0,99260;0,01972;0,00621;0,01351;0,00292;-0,00161;0,00453
2016-10-03;22,79748;22,79748;22,68986;22,69882;4800;0,00000;0;-0,00620;1,00198;;0,99519;0,99403;1,00106;0,99825;0,99361;0,99269;0,01916;0,00895;0,01021;0,00358;-0,00109;0,00468
