Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2012-06-05;13,42810;13,47251;13,36594;13,47251;800;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2012-06-06;13,47251;13,68565;13,47251;13,61460;2000;0,00000;0;0,01055;1,01055;;1,01055;1,01055;1,01055;1,01055;1,01055;1,01055;0,01134;0,00630;0,00504;0,00249;0,00127;0,00122
2012-06-07;14,20963;14,20963;13,66789;13,66789;11500;0,00000;0;0,00391;1,01450;;1,01070;1,01064;1,01127;1,01091;1,01063;1,01059;0,02434;0,01369;0,01065;0,00579;0,00285;0,00295
2012-06-08;13,60572;13,74782;13,49915;13,74782;1200;0,00000;0;0,00585;1,02043;;1,01108;1,01089;1,01293;1,01177;1,01082;1,01068;0,04062;0,02281;0,01781;0,01034;0,00485;0,00549
2012-06-11;14,16523;14,16523;13,46363;13,46363;6100;0,00000;0;-0,02067;0,99934;;1,01062;1,01060;1,01046;1,01064;1,01059;1,01057;0,03025;0,02503;0,00522;0,00968;0,00590;0,00378
2012-06-12;13,46363;13,59684;13,41034;13,59684;4700;0,00000;0;0,00989;1,00923;;1,01057;1,01057;1,01024;1,01051;1,01057;1,01056;0,03240;0,02703;0,00538;0,01138;0,00692;0,00447
2012-06-13;13,50803;13,61460;13,41034;13,44587;8900;0,00000;0;-0,01110;0,99802;;1,01008;1,01026;1,00802;1,00938;1,01032;1,01043;0,02168;0,02567;-0,00399;0,01036;0,00748;0,00288
2012-06-14;13,52579;13,52579;13,48139;13,48139;500;0,00000;0;0,00264;1,00066;;1,00971;1,01002;1,00668;1,00859;1,01013;1,01034;0,01586;0,02332;-0,00745;0,00999;0,00784;0,00215
2012-06-15;13,57020;13,67677;13,54356;13,67677;500;0,00000;0;0,01449;1,01516;;1,00992;1,01015;1,00822;1,00918;1,01023;1,01038;0,02671;0,02410;0,00261;0,01307;0,00853;0,00454
2012-06-18;13,72118;13,72118;13,67677;13,72118;2300;0,00000;0;0,00325;1,01846;;1,01026;1,01035;1,01008;1,01003;1,01039;1,01046;0,03845;0,02731;0,01113;0,01677;0,00953;0,00724
2012-06-19;14,03201;14,07642;13,99649;13,99649;1900;0,00000;0;0,02006;1,03889;;1,01138;1,01106;1,01532;1,01265;1,01095;1,01075;0,06917;0,03647;0,03270;0,02510;0,01128;0,01382
2012-06-20;14,08530;14,08530;13,99649;14,03201;5900;0,00000;0;0,00254;1,04153;;1,01256;1,01181;1,02009;1,01528;1,01156;1,01105;0,09528;0,04910;0,04618;0,03365;0,01363;0,02002
2012-06-21;14,04977;14,04977;13,65901;13,66789;5100;0,00000;0;-0,02595;1,01450;;1,01264;1,01188;1,01907;1,01521;1,01162;1,01109;0,08561;0,05683;0,02878;0,03540;0,01579;0,01961
2012-06-22;13,63237;13,63237;13,63237;13,63237;1700;0,00000;0;-0,00260;1,01187;;1,01261;1,01188;1,01776;1,01490;1,01162;1,01110;0,07422;0,06047;0,01375;0,03643;0,01773;0,01870
2012-06-25;13,58796;13,58796;13,46363;13,46363;1800;0,00000;0;-0,01238;0,99934;;1,01209;1,01157;1,01441;1,01349;1,01138;1,01098;0,05099;0,05850;-0,00751;0,03443;0,01922;0,01521
2012-06-26;13,49915;13,52579;13,49915;13,52579;600;0,00000;0;0,00462;1,00395;;1,01177;1,01138;1,01251;1,01262;1,01123;1,01091;0,03717;0,05411;-0,01694;0,03360;0,02045;0,01315
2012-06-27;13,62349;13,72118;13,62349;13,72118;600;0,00000;0;0,01445;1,01846;;1,01203;1,01155;1,01359;1,01315;1,01137;1,01098;0,04151;0,05153;-0,01003;0,03621;0,02174;0,01447
2012-06-28;13,54356;13,54356;13,48139;13,48139;1100;0,00000;0;-0,01748;1,00066;;1,01158;1,01128;1,01124;1,01202;1,01116;1,01088;0,02530;0,04619;-0,02089;0,03448;0,02275;0,01174
2012-06-29;13,89880;14,02313;13,89880;13,98761;3500;0,00000;0;0,03755;1,03823;;1,01263;1,01195;1,01615;1,01440;1,01170;1,01115;0,05270;0,04751;0,00519;0,04169;0,02419;0,01750
2012-07-02;14,17411;14,17411;14,04977;14,05866;700;0,00000;0;0,00508;1,04351;0,20156;1,01384;1,01273;1,02112;1,01705;1,01233;1,01148;0,07923;0,05393;0,02530;0,04977;0,02608;0,02370
2012-07-03;14,11194;14,20963;14,11194;14,20963;800;0,00000;0;0,01074;1,05471;0,19674;1,01544;1,01377;1,02723;1,02047;1,01317;1,01191;0,11116;0,06548;0,04568;0,06010;0,02852;0,03158
2012-07-05;14,23628;14,25404;14,17411;14,20075;11100;0,00000;0;-0,00062;1,05405;0,18561;1,01696;1,01476;1,03211;1,02352;1,01398;1,01232;0,13420;0,07933;0,05487;0,06974;0,03139;0,03835
2012-07-06;14,02313;14,02313;14,02313;14,02313;400;0,00000;0;-0,01251;1,04087;0,18485;1,01790;1,01541;1,03370;1,02510;1,01451;1,01261;0,13655;0,09084;0,04571;0,07578;0,03440;0,04138
2012-07-09;13,96984;13,96984;13,96984;13,96984;200;0,00000;0;-0,00380;1,03691;0,17232;1,01864;1,01594;1,03428;1,02617;1,01495;1,01285;0,13259;0,09923;0,03336;0,08056;0,03746;0,04310
2012-07-10;13,94320;13,94320;13,94320;13,94320;100;0,00000;0;-0,00191;1,03494;0,15845;1,01928;1,01641;1,03440;1,02697;1,01535;1,01307;0,12584;0,10457;0,02127;0,08461;0,04052;0,04409
2012-07-11;13,94320;13,94320;13,94320;13,94320;0;0,00000;0;0,00000;1,03494;0,14336;1,01989;1,01686;1,03450;1,02769;1,01574;1,01329;0,11913;0,10749;0,01164;0,08842;0,04356;0,04486
2012-07-12;13,94320;13,94320;13,94320;13,94320;0;0,00000;0;0,00000;1,03494;0,12970;1,02048;1,01731;1,03458;1,02835;1,01612;1,01350;0,11251;0,10850;0,00401;0,09201;0,04657;0,04543
2012-07-13;13,89880;13,89880;13,89880;13,89880;100;0,00000;0;-0,00318;1,03164;0,12158;1,02092;1,01766;1,03405;1,02865;1,01642;1,01368;0,10250;0,10729;-0,00480;0,09460;0,04951;0,04509
2012-07-16;13,90768;13,90768;13,83663;13,83663;600;0,00000;0;-0,00447;1,02703;0,11677;1,02116;1,01789;1,03277;1,02850;1,01663;1,01382;0,08853;0,10354;-0,01501;0,09593;0,05229;0,04364
2012-07-17;14,02313;14,02313;14,01425;14,01425;500;0,00000;0;0,01284;1,04021;0,12341;1,02191;1,01845;1,03412;1,02957;1,01710;1,01408;0,09074;0,10097;-0,01023;0,10026;0,05512;0,04514
2012-07-18;14,01425;14,01425;14,01425;14,01425;0;0,00000;0;0,00000;1,04021;0,11166;1,02263;1,01898;1,03523;1,03054;1,01756;1,01434;0,09144;0,09907;-0,00762;0,10434;0,05798;0,04635
2012-07-19;14,14747;14,14747;14,14747;14,14747;5000;0,00000;0;0,00951;1,05010;0,11371;1,02370;1,01975;1,03793;1,03231;1,01820;1,01470;0,10158;0,09957;0,00201;0,11050;0,06099;0,04951
2012-07-20;13,97872;13,98761;13,97872;13,98761;600;0,00000;0;-0,01130;1,03823;0,11895;1,02427;1,02021;1,03799;1,03285;1,01860;1,01493;0,09561;0,09878;-0,00317;0,11352;0,06396;0,04956
2012-07-23;13,74782;13,74782;13,74782;13,74782;300;0,00000;0;-0,01714;1,02043;0,13046;1,02412;1,02021;1,03480;1,03172;1,01864;1,01498;0,07071;0,09316;-0,02245;0,11213;0,06665;0,04548
2012-07-24;13,74782;13,74782;13,74782;13,74782;0;0,00000;0;0,00000;1,02043;0,11803;1,02398;1,02022;1,03219;1,03070;1,01867;1,01504;0,05040;0,08460;-0,03420;0,11076;0,06908;0,04168
2012-07-25;13,74782;13,74782;13,74782;13,74782;0;0,00000;0;0,00000;1,02043;0,10679;1,02384;1,02022;1,03005;1,02976;1,01871;1,01509;0,03391;0,07446;-0,04055;0,10939;0,07128;0,03811
2012-07-26;13,74782;13,74782;13,74782;13,74782;0;0,00000;0;0,00000;1,02043;0,09662;1,02371;1,02023;1,02830;1,02892;1,01874;1,01515;0,02061;0,06369;-0,04308;0,10803;0,07326;0,03478
2012-07-27;13,74782;13,74782;13,74782;13,74782;0;0,00000;0;0,00000;1,02043;0,08742;1,02358;1,02023;1,02687;1,02815;1,01877;1,01520;0,00995;0,05294;-0,04299;0,10669;0,07504;0,03165
2012-07-30;13,74782;13,74782;13,74782;13,74782;0;0,00000;0;0,00000;1,02043;0,07909;1,02345;1,02024;1,02570;1,02744;1,01881;1,01525;0,00149;0,04265;-0,04116;0,10535;0,07664;0,02871
2012-07-31;14,06754;14,06754;13,96984;13,96984;1400;0,00000;0;0,01615;1,03691;0,10201;1,02398;1,02065;1,02774;1,02831;1,01917;1,01547;0,01255;0,03663;-0,02408;0,10792;0,07828;0,02964
2012-08-01;13,96984;13,96984;13,96984;13,96984;0;0,00000;0;0,00000;1,03691;0,09230;1,02449;1,02105;1,02941;1,02909;1,01952;1,01568;0,02108;0,03352;-0,01244;0,11031;0,07994;0,03037
2012-08-02;13,72118;13,90768;13,72118;13,74782;600;0,00000;0;-0,01589;1,02043;0,10719;1,02433;1,02104;1,02778;1,02830;1,01954;1,01573;0,00980;0,02877;-0,01897;0,10864;0,08141;0,02722
2012-08-03;13,72118;14,20075;13,72118;14,20075;1100;0,00000;0;0,03295;1,05405;0,14265;1,02550;1,02185;1,03255;1,03064;1,02022;1,01611;0,03699;0,03042;0,00657;0,11493;0,08312;0,03181
2012-08-06;14,20075;14,20075;14,20075;14,20075;0;0,00000;0;0,00000;1,05405;0,12907;1,02662;1,02265;1,03646;1,03277;1,02089;1,01649;0,05787;0,03591;0,02196;0,12086;0,08503;0,03583
2012-08-07;14,38726;14,38726;14,38726;14,38726;100;0,00000;0;0,01313;1,06790;0,13454;1,02823;1,02376;1,04218;1,03596;1,02182;1,01700;0,08845;0,04642;0,04203;0,12972;0,08728;0,04244
2012-08-08;14,38726;14,38726;14,38726;14,38726;0;0,00000;0;0,00000;1,06790;0,12172;1,02979;1,02485;1,04685;1,03887;1,02273;1,01750;0,11140;0,05941;0,05198;0,13809;0,08982;0,04828
2012-08-09;14,38726;14,38726;14,38726;14,38726;0;0,00000;0;0,00000;1,06790;0,11013;1,03128;1,02592;1,05068;1,04151;1,02363;1,01800;0,12811;0,07315;0,05495;0,14600;0,09261;0,05339
2012-08-10;14,38726;14,38726;14,38726;14,38726;0;0,00000;0;0,00000;1,06790;0,09964;1,03272;1,02695;1,05381;1,04391;1,02450;1,01850;0,13974;0,08647;0,05327;0,15346;0,09561;0,05785
2012-08-13;14,38726;14,38726;14,38726;14,38726;0;0,00000;0;0,00000;1,06790;0,09015;1,03410;1,02796;1,05637;1,04609;1,02536;1,01899;0,14726;0,09863;0,04863;0,16048;0,09879;0,06169
2012-08-14;14,64480;14,71585;14,64480;14,67145;2700;0,00000;0;0,01975;1,08899;0,11286;1,03625;1,02947;1,06230;1,04999;1,02662;1,01969;0,17414;0,11373;0,06041;0,17207;0,10236;0,06971
2012-08-15;14,67145;14,67145;14,67145;14,67145;0;0,00000;0;0,00000;1,08899;0,10211;1,03832;1,03094;1,06716;1,05353;1,02786;1,02038;0,19322;0,12963;0,06359;0,18302;0,10627;0,07675
2012-08-16;14,69809;14,90235;14,69809;14,90235;300;0,00000;0;0,01574;1,10613;0,11438;1,04098;1,03280;1,07424;1,05831;1,02941;1,02123;0,22439;0,14858;0,07581;0,19741;0,11067;0,08674
2012-08-17;14,90235;14,90235;14,90235;14,90235;0;0,00000;0;0,00000;1,10613;0,10349;1,04353;1,03461;1,08004;1,06266;1,03093;1,02208;0,24625;0,16812;0,07813;0,21101;0,11549;0,09552
2012-08-20;14,92011;14,92011;14,92011;14,92011;500;0,00000;0;0,00119;1,10745;0,09532;1,04604;1,03641;1,08502;1,06673;1,03244;1,02293;0,26199;0,18689;0,07510;0,22417;0,12069;0,10348
2012-08-21;14,98228;14,98228;14,98228;14,98228;400;0,00000;0;0,00417;1,11206;0,09216;1,04863;1,03828;1,08994;1,07085;1,03402;1,02381;0,27629;0,20477;0,07152;0,23769;0,12626;0,11143
2012-08-22;14,85795;14,91123;14,85795;14,85795;500;0,00000;0;-0,00830;1,10283;0,09523;1,05076;1,03987;1,09228;1,07376;1,03538;1,02460;0,27443;0,21870;0,05573;0,24826;0,13204;0,11622
2012-08-23;14,78690;14,79578;14,78690;14,78690;700;0,00000;0;-0,00478;1,09756;0,09293;1,05259;1,04129;1,09324;1,07592;1,03661;1,02533;0,26418;0,22780;0,03638;0,25696;0,13794;0,11902
2012-08-24;14,82243;14,83131;14,82243;14,83131;300;0,00000;0;0,00300;1,10086;0,08830;1,05448;1,04276;1,09463;1,07819;1,03789;1,02608;0,25668;0,23357;0,02310;0,26589;0,14396;0,12193
