Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2007-12-21;69,35063;69,54237;68,85533;69,54237;526700;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2007-12-24;69,63821;70,12553;69,48643;70,01369;207200;0,00000;0;0,00678;1,00678;;1,00678;1,00678;1,00678;1,00678;1,00678;1,00678;0,03760;0,02089;0,01671;0,00826;0,00422;0,00404
2007-12-26;69,88588;70,08560;69,59828;69,93381;600600;0,00000;0;-0,00114;1,00563;;1,00673;1,00675;1,00657;1,00667;1,00675;1,00677;0,06025;0,03702;0,02323;0,01472;0,00788;0,00684
2007-12-27;69,73268;69,78877;68,81915;68,84319;343200;0,26900;0;-0,01559;0,98995;;1,00607;1,00633;1,00355;1,00515;1,00642;1,00660;-0,00968;0,02120;-0,03088;0,00176;0,00624;-0,00449
2007-12-28;69,43621;69,43621;68,61083;68,83521;310900;0,00000;0;-0,00012;0,98983;;1,00544;1,00593;1,00105;1,00376;1,00609;1,00643;-0,06500;-0,00444;-0,06056;-0,01073;0,00254;-0,01327
2007-12-31;68,69092;68,85119;68,04985;68,06588;440600;0,00000;0;-0,01118;0,97877;;1,00439;1,00526;0,99700;1,00149;1,00555;1,00616;-0,16897;-0,04904;-0,11993;-0,03609;-0,00463;-0,03146
2008-01-02;68,27422;68,51462;67,25652;67,63315;544100;0,00000;0;-0,00636;0,97255;;1,00314;1,00445;0,99255;0,99886;1,00490;1,00582;-0,28303;-0,10826;-0,17477;-0,06781;-0,01491;-0,05291
2008-01-03;67,71329;67,93766;66,97605;67,08824;340000;0,00000;0;-0,00806;0,96471;;1,00164;1,00347;0,98749;0,99575;1,00410;1,00541;-0,41263;-0,18140;-0,23123;-0,10754;-0,02836;-0,07917
2008-01-04;66,39109;66,49527;65,06087;65,17306;395700;0,00000;0;-0,02855;0,93717;;0,99911;1,00183;0,97834;0,99043;1,00278;1,00473;-0,66224;-0,29248;-0,36977;-0,17888;-0,04821;-0,13066
2008-01-07;65,48555;65,66985;64,37969;65,00475;731900;0,00000;0;-0,00258;0,93475;;0,99658;1,00017;0,97042;0,98537;1,00143;1,00404;-0,86369;-0,42046;-0,44323;-0,24968;-0,07262;-0,17706
