Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2007-12-21;30,29915;30,44504;30,19816;30,43756;289200;0,00000;0,00000;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2007-12-24;30,39642;30,81537;30,30291;30,81537;170000;0,00000;0,00000;0,01241;1,01241;;1,01241;1,01241;1,01241;1,01241;1,01241;1,01241;0,03014;0,01674;0,01340;0,00662;0,00338;0,00324
2007-12-26;30,66201;30,74056;30,53482;30,67323;156000;0,00000;0,00000;-0,00461;1,00774;;1,01223;1,01230;1,01156;1,01199;1,01232;1,01237;0,04207;0,02712;0,01495;0,01043;0,00584;0,00459
2007-12-27;30,64315;30,64315;30,15455;30,15455;260800;0,19500;0,00000;-0,01691;0,99070;;1,01139;1,01176;1,00777;1,01005;1,01189;1,01215;0,00956;0,02117;-0,01161;0,00497;0,00560;-0,00064
2007-12-28;30,37632;30,41390;30,04932;30,06812;775800;0,00000;0,00000;-0,00287;0,98786;;1,01046;1,01117;1,00415;1,00804;1,01142;1,01191;-0,02291;0,00806;-0,03097;-0,00175;0,00400;-0,00575
2007-12-31;29,94784;30,14704;29,89146;29,90274;249200;0,00000;0,00000;-0,00550;0,98243;;1,00936;1,01046;1,00020;1,00571;1,01084;1,01162;-0,06129;-0,01074;-0,05055;-0,01105;0,00120;-0,01225
2008-01-02;29,95534;30,04179;29,46298;29,58325;308600;0,00000;0,00000;-0,01068;0,97193;;1,00790;1,00951;0,99506;1,00264;1,01007;1,01122;-0,11614;-0,03741;-0,07873;-0,02550;-0,00314;-0,02236
2008-01-03;29,68849;29,71105;29,18485;29,20365;279000;0,00000;0,00000;-0,01283;0,95946;;1,00600;1,00828;0,98859;0,99871;1,00907;1,01071;-0,18807;-0,07362;-0,11445;-0,04589;-0,00935;-0,03654
2008-01-04;28,97815;28,97815;28,33544;28,38806;347000;0,00000;0,00000;-0,02793;0,93267;;1,00312;1,00641;0,97842;0,99271;1,00756;1,00993;-0,30735;-0,12761;-0,17974;-0,07959;-0,01861;-0,06098
2008-01-07;28,46698;28,65491;28,13247;28,37302;305000;0,00000;0,00000;-0,00053;0,93217;;1,00034;1,00458;0,97001;0,98720;1,00606;1,00916;-0,39850;-0,18830;-0,21019;-0,11190;-0,02991;-0,08199
2008-01-08;28,46697;28,73382;27,70399;27,70775;330400;0,00000;0,00000;-0,02345;0,91031;;0,99681;1,00225;0,95916;0,98021;1,00417;1,00817;-0,51844;-0,26054;-0,25790;-0,15428;-0,04389;-0,11038
