Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2007-12-21;19,82728;19,84256;19,69418;19,74873;832400;0,00000;0,00000;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2007-12-24;19,87965;20,00838;19,84692;20,00184;381600;0,00000;0,00000;0,01282;1,01282;;1,01282;1,01282;1,01282;1,01282;1,01282;1,01282;0,02019;0,01122;0,00897;0,00443;0,00227;0,00217
2007-12-26;19,93638;20,02148;19,89711;19,99530;740400;0,00000;0,00000;-0,00033;1,01249;;1,01280;1,01281;1,01276;1,01279;1,01281;1,01281;0,03526;0,02107;0,01419;0,00854;0,00445;0,00409
2007-12-27;19,97060;19,97060;19,68222;19,73028;589600;0,02925;0,00000;-0,01325;0,99907;;1,01226;1,01247;1,01027;1,01154;1,01254;1,01268;0,02552;0,02258;0,00294;0,00781;0,00535;0,00246
2007-12-28;19,82423;19,86355;19,64290;19,70407;1884000;0,00000;0,00000;-0,00133;0,99774;;1,01169;1,01211;1,00799;1,01028;1,01224;1,01253;0,01551;0,02047;-0,00497;0,00664;0,00563;0,00101
2007-12-31;19,62759;19,70406;19,47029;19,47029;307600;0,00000;0,00000;-0,01186;0,98590;;1,01068;1,01146;1,00397;1,00807;1,01172;1,01226;-0,01116;0,01190;-0,02306;0,00143;0,00485;-0,00342
2008-01-02;19,57080;19,62323;19,22561;19,30426;5123600;0,00000;0,00000;-0,00853;0,97749;;1,00938;1,01062;0,99916;1,00529;1,01105;1,01192;-0,04517;-0,00254;-0,04263;-0,00644;0,00301;-0,00945
2008-01-03;19,36107;19,49434;19,28679;19,33048;473600;0,00000;0,00000;0,00136;0,97882;;1,00818;1,00983;0,99546;1,00288;1,01041;1,01159;-0,06921;-0,01857;-0,05065;-0,01347;0,00062;-0,01409
2008-01-04;19,12074;19,12074;18,72312;18,76682;601200;0,00000;0,00000;-0,02916;0,95028;;1,00591;1,00836;0,98725;0,99810;1,00922;1,01098;-0,13223;-0,04482;-0,08740;-0,03004;-0,00342;-0,02661
2008-01-07;18,83018;18,90227;18,46532;18,65977;919200;0,00000;0,00000;-0,00570;0,94486;;1,00352;1,00680;0,97954;0,99326;1,00794;1,01032;-0,18863;-0,07704;-0,11158;-0,04768;-0,00878;-0,03889
2008-01-08;18,69254;18,82581;18,24904;18,24904;989200;0,00000;0,00000;-0,02201;0,92406;;1,00040;1,00475;0,96945;0,98697;1,00628;1,00946;-0,26343;-0,11782;-0,14561;-0,07165;-0,01585;-0,05580
2008-01-09;18,28181;18,39760;17,93662;18,38012;784800;0,00000;0,00000;0,00718;0,93070;;0,99767;1,00292;0,96241;0,98185;1,00478;1,00868;-0,30858;-0,15879;-0,14979;-0,09215;-0,02388;-0,06827
2008-01-10;18,18131;18,65759;18,13107;18,53306;619200;0,00000;0,00000;0,00832;0,93844;;0,99535;1,00133;0,95805;0,97791;1,00347;1,00798;-0,32823;-0,19465;-0,13358;-0,10895;-0,03230;-0,07665
2008-01-11;18,39105;18,42819;18,15728;18,23594;541600;0,00000;0,00000;-0,01603;0,92340;;0,99252;0,99941;0,95175;0,97295;1,00189;1,00714;-0,36360;-0,22999;-0,13360;-0,13010;-0,04148;-0,08862
2008-01-14;18,38231;18,54616;18,32769;18,53306;313200;0,00000;0,00000;0,01629;0,93844;;0,99040;0,99790;0,94933;0,96981;1,00063;1,00645;-0,36345;-0,25766;-0,10580;-0,14498;-0,05073;-0,09425
2008-01-15;18,27525;18,32769;18,00216;18,05678;495600;0,00000;0,00000;-0,02570;0,91433;;0,98742;0,99584;0,94297;0,96477;0,99892;1,00554;-0,39720;-0,28637;-0,11082;-0,16742;-0,06070;-0,10672
2008-01-16;17,92788;18,08737;17,61110;17,81865;987200;0,00000;0,00000;-0,01319;0,90227;;0,98408;0,99353;0,93557;0,95909;0,99701;1,00451;-0,43810;-0,31742;-0,12068;-0,19288;-0,07153;-0,12134
2008-01-17;17,86234;17,99342;17,28120;17,31178;753600;0,00000;0,00000;-0,02845;0,87660;;0,97987;0,99064;0,92485;0,95159;0,99462;1,00324;-0,50559;-0,35574;-0,14985;-0,22591;-0,08372;-0,14219
2008-01-18;17,43195;17,59581;17,06928;17,28557;2265600;0,00000;0,00000;-0,00151;0,87528;;0,97576;0,98779;0,91583;0,94465;0,99226;1,00196;-0,55480;-0,39614;-0,15866;-0,25772;-0,09699;-0,16073
2008-01-22;16,85081;17,31616;16,85081;17,25280;2593600;0,00000;0,00000;-0,00190;0,87362;0,39036;0,97176;0,98497;0,90816;0,93819;0,98991;1,00069;-0,58964;-0,43529;-0,15435;-0,28846;-0,11112;-0,17734
2008-01-23;16,71317;17,41229;16,47067;17,36204;1151200;0,00000;0,00000;0,00633;0,87915;0,44286;0,96813;0,98236;0,90288;0,93283;0,98772;0,99948;-0,60150;-0,46884;-0,13266;-0,31568;-0,12578;-0,18990
2008-01-24;17,54119;17,78369;17,44724;17,70723;1496000;0,00000;0,00000;0,01988;0,89663;0,44084;0,96532;0,98024;0,90174;0,92954;0,98591;0,99845;-0,57641;-0,49051;-0,08589;-0,33540;-0,14039;-0,19502
2008-01-25;17,89729;17,94973;17,51278;17,59143;754400;0,00000;0,00000;-0,00654;0,89076;0,44047;0,96240;0,97803;0,89975;0,92601;0,98403;0,99738;-0,55942;-0,50438;-0,05504;-0,35605;-0,15503;-0,20102
2008-01-28;17,53682;17,86016;17,34020;17,86016;619200;0,00000;0,00000;0,01528;0,90437;0,44804;0,96012;0,97622;0,90059;0,92404;0,98245;0,99646;-0,51829;-0,50717;-0,01112;-0,37082;-0,16934;-0,20149
2008-01-29;18,11359;18,11359;17,82520;17,98250;376400;0,00000;0,00000;0,00685;0,91056;0,43284;0,95818;0,97459;0,90240;0,92282;0,98103;0,99560;-0,47040;-0,49979;0,02939;-0,38257;-0,18315;-0,19941
2008-01-30;17,96284;18,78867;17,80335;17,80554;2054800;0,00000;0,00000;-0,00984;0,90160;0,48545;0,95596;0,97279;0,90226;0,92089;0,97945;0,99467;-0,44164;-0,48813;0,04648;-0,39666;-0,19670;-0,19996
2008-01-31;17,62639;18,26651;17,50404;18,15728;640400;0,00000;0,00000;0,01975;0,91941;0,51184;0,95453;0,97147;0,90538;0,92076;0,97827;0,99392;-0,38602;-0,46765;0,08164;-0,40373;-0,20958;-0,19414
2008-02-01;18,31895;18,60296;18,25777;18,57019;602000;0,00000;0,00000;0,02274;0,94032;0,50554;0,95397;0,97071;0,91173;0,92253;0,97751;0,99338;-0,30510;-0,43508;0,12998;-0,40302;-0,22140;-0,18162
2008-02-04;18,54834;18,60296;18,43474;18,47188;678400;0,00000;0,00000;-0,00529;0,93535;0,47341;0,95324;0,96983;0,91602;0,92370;0,97668;0,99281;-0,24606;-0,39722;0,15116;-0,40386;-0,23235;-0,17152
2008-02-05;18,23593;18,25777;17,92351;17,92788;448000;0,00000;0,00000;-0,02945;0,90780;0,48055;0,95146;0,96830;0,91453;0,92225;0,97531;0,99196;-0,24040;-0,36582;0,12541;-0,41400;-0,24307;-0,17093
