Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2007-12-21;27,07242;27,23951;26,90533;27,23136;1931200;0,00000;0,00000;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2007-12-24;27,39030;27,51664;27,26397;27,44328;928400;0,00000;0,00000;0,00778;1,00778;;1,00778;1,00778;1,00778;1,00778;1,00778;1,00778;0,01691;0,00939;0,00751;0,00371;0,00190;0,00182
2007-12-26;27,37807;27,64297;27,24766;27,44735;1428200;0,00000;0,00000;0,00015;1,00793;;1,00779;1,00779;1,00781;1,00780;1,00779;1,00778;0,03028;0,01795;0,01233;0,00732;0,00379;0,00353
2007-12-27;27,32515;27,43958;26,77342;26,81020;2923400;0,09550;0,00000;-0,02321;0,98453;;1,00688;1,00721;1,00358;1,00568;1,00732;1,00755;-0,01041;0,00835;-0,01875;-0,00041;0,00266;-0,00308
2007-12-28;27,10855;27,11672;26,75299;26,75707;2679600;0,00000;0,00000;-0,00198;0,98258;;1,00592;1,00660;0,99976;1,00358;1,00683;1,00730;-0,04641;-0,00794;-0,03847;-0,00871;0,00018;-0,00889
2007-12-31;26,60585;26,79794;26,40559;26,57315;4263600;0,00000;0,00000;-0,00687;0,97583;;1,00474;1,00584;0,99541;1,00106;1,00622;1,00699;-0,08876;-0,02985;-0,05891;-0,01983;-0,00353;-0,01629
2008-01-02;26,53229;26,70803;26,09908;26,31568;5538800;0,00000;0,00000;-0,00969;0,96637;;1,00324;1,00487;0,99013;0,99791;1,00543;1,00659;-0,14146;-0,05809;-0,08337;-0,03492;-0,00864;-0,02628
2008-01-03;26,31159;26,50368;25,93151;25,98055;4400000;0,00000;0,00000;-0,01274;0,95407;;1,00131;1,00361;0,98357;0,99392;1,00441;1,00606;-0,20788;-0,09409;-0,11379;-0,05514;-0,01539;-0,03975
2008-01-04;25,66178;25,69857;25,07735;25,18770;2734600;0,00000;0,00000;-0,03052;0,92495;;0,99832;1,00167;0,97291;0,98765;1,00284;1,00526;-0,32079;-0,14646;-0,17433;-0,08827;-0,02500;-0,06327
2008-01-07;25,27352;25,49421;24,89752;25,31848;3377600;0,00000;0,00000;0,00519;0,92975;;0,99563;0,99990;0,96507;0,98239;1,00139;1,00451;-0,39517;-0,20219;-0,19298;-0,11749;-0,03621;-0,08128
2008-01-08;25,31847;25,62091;24,53379;24,61961;5954000;0,00000;0,00000;-0,02760;0,90409;;0,99204;0,99753;0,95398;0,97527;0,99947;1,00351;-0,50469;-0,26837;-0,23632;-0,15750;-0,04984;-0,10766
2008-01-09;24,53378;24,90160;24,07605;24,90160;5698000;0,00000;0,00000;0,01145;0,91445;;0,98899;0,99548;0,94679;0,96974;0,99778;1,00262;-0,56225;-0,33148;-0,23076;-0,19059;-0,06465;-0,12595
2008-01-10;24,54197;25,27761;24,44388;25,06100;5867600;0,00000;0,00000;0,00640;0,92030;;0,98630;0,99362;0,94198;0,96525;0,99625;1,00180;-0,58822;-0,38582;-0,20240;-0,21922;-0,07996;-0,13926
