Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2015-05-04;19,99725;20,05334;19,99725;20,05334;4000;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2015-05-05;19,86907;19,86907;19,84423;19,84423;3000;0,00000;0;-0,01043;0,98957;;0,98957;0,98957;0,98957;0,98957;0,98957;0,98957;-0,01668;-0,00927;-0,00741;-0,00366;-0,00187;-0,00179
2015-05-06;19,80497;19,80497;19,74088;19,74088;2300;0,00000;0;-0,00521;0,98442;;0,98937;0,98945;0,98864;0,98910;0,98947;0,98952;-0,03780;-0,02096;-0,01684;-0,00896;-0,00434;-0,00462
2015-05-07;19,72486;19,72486;19,72486;19,72486;200;0,00000;0;-0,00081;0,98362;;0,98914;0,98930;0,98772;0,98861;0,98935;0,98946;-0,05520;-0,03256;-0,02264;-0,01428;-0,00700;-0,00729
2015-05-08;19,72486;19,72486;19,72486;19,72486;0;0,00000;0;0,00000;0,98362;;0,98893;0,98916;0,98698;0,98815;0,98924;0,98940;-0,06820;-0,04316;-0,02504;-0,01935;-0,00969;-0,00966
2015-05-11;20,14948;20,14948;20,10141;20,10141;2600;0,00000;0;0,01909;1,00240;;0,98946;0,98949;0,98978;0,98945;0,98950;0,98953;-0,04757;-0,04436;-0,00321;-0,01756;-0,01115;-0,00641
2015-05-12;20,10141;20,10141;20,10141;20,10141;0;0,00000;0;0,00000;1,00240;;0,98996;0,98981;0,99207;0,99062;0,98976;0,98966;-0,03087;-0,04094;0,01008;-0,01585;-0,01192;-0,00394
2015-05-13;20,20556;20,21357;20,20556;20,20556;300;0,00000;0;0,00518;1,00759;;0,99066;0,99025;0,99490;0,99217;0,99011;0,98984;-0,00912;-0,03330;0,02418;-0,01239;-0,01198;-0,00041
2015-05-14;20,20556;20,20556;20,20556;20,20556;0;0,00000;0;0,00000;1,00759;;0,99132;0,99067;0,99720;0,99357;0,99046;0,99002;0,00802;-0,02375;0,03177;-0,00909;-0,01160;0,00251
2015-05-15;20,20556;20,20556;20,20556;20,20556;0;0,00000;0;0,00000;1,00759;;0,99196;0,99109;0,99909;0,99484;0,99080;0,99019;0,02136;-0,01364;0,03501;-0,00594;-0,01092;0,00498
2015-05-18;20,20556;20,20556;20,20556;20,20556;0;0,00000;0;0,00000;1,00759;;0,99257;0,99150;1,00064;0,99600;0,99113;0,99036;0,03157;-0,00375;0,03532;-0,00294;-0,01002;0,00708
2015-05-19;20,20556;20,20556;20,20556;20,20556;0;0,00000;0;0,00000;1,00759;;0,99316;0,99190;1,00190;0,99706;0,99145;0,99054;0,03921;0,00547;0,03373;-0,00007;-0,00897;0,00890
2015-05-20;20,46193;20,46193;20,45552;20,45552;400;0,00000;0;0,01237;1,02006;;0,99421;0,99259;1,00520;0,99915;0,99202;0,99083;0,06468;0,01801;0,04668;0,00703;-0,00739;0,01442
2015-05-21;20,58211;20,58211;20,58211;20,58211;200;0,00000;0;0,00619;1,02637;;0,99548;0,99343;1,00905;1,00162;0,99270;0,99118;0,09401;0,03390;0,06010;0,01601;-0,00519;0,02120
2015-05-22;20,58211;20,58211;20,58211;20,58211;0;0,00000;0;0,00000;1,02637;;0,99669;0,99424;1,01220;1,00387;0,99337;0,99153;0,11591;0,05090;0,06500;0,02456;-0,00253;0,02709
2015-05-26;20,27767;20,27767;20,15749;20,15749;700;0,00000;0;-0,02063;1,00519;;0,99702;0,99451;1,01093;1,00399;0,99360;0,99167;0,09787;0,06057;0,03730;0,02525;-0,00016;0,02541
2015-05-27;20,11423;20,11423;20,11423;20,11423;100;0,00000;0;-0,00215;1,00304;;0,99726;0,99472;1,00949;1,00390;0,99379;0,99178;0,07918;0,06438;0,01480;0,02513;0,00191;0,02322
2015-05-28;20,11423;20,11423;20,11423;20,11423;0;0,00000;0;0,00000;1,00304;;0,99748;0,99493;1,00832;1,00383;0,99397;0,99189;0,06363;0,06422;-0,00060;0,02501;0,00374;0,02127
2015-05-29;20,11423;20,11423;20,11423;20,11423;0;0,00000;0;0,00000;1,00304;;0,99770;0,99513;1,00736;1,00375;0,99415;0,99201;0,05072;0,06148;-0,01076;0,02488;0,00535;0,01953
2015-06-01;20,02129;20,02129;20,02129;20,02129;2100;0,00000;0;-0,00462;0,99840;0,07630;0,99773;0,99521;1,00573;1,00327;0,99424;0,99207;0,03262;0,05564;-0,02303;0,02312;0,00666;0,01646
2015-06-02;20,02129;20,02129;20,02129;20,02129;0;0,00000;0;0,00000;0,99840;0,06903;0,99775;0,99529;1,00440;1,00283;0,99432;0,99213;0,01806;0,04806;-0,03000;0,02143;0,00772;0,01371
2015-06-03;20,34176;20,34176;20,34176;20,34176;15300;0,00000;0;0,01601;1,01438;0,09298;0,99841;0,99576;1,00621;1,00388;0,99471;0,99235;0,03201;0,04482;-0,01281;0,02542;0,00895;0,01647
2015-06-04;20,50199;20,50199;20,13345;20,13345;500;0,00000;0;-0,01024;1,00399;0,11922;0,99863;0,99596;1,00581;1,00389;0,99490;0,99247;0,02596;0,04103;-0,01507;0,02556;0,01008;0,01548
2015-06-05;19,90112;19,90112;19,90112;19,90112;3000;0,00000;0;-0,01154;0,99241;0,12999;0,99838;0,99587;1,00337;1,00284;0,99485;0,99247;0,00239;0,03327;-0,03087;0,02161;0,01084;0,01077
2015-06-08;19,86907;19,89310;19,86907;19,88509;4100;0,00000;0;-0,00081;0,99161;0,12067;0,99812;0,99577;1,00123;1,00182;0,99479;0,99246;-0,01738;0,02310;-0,04048;0,01756;0,01128;0,00628
2015-06-09;19,76491;19,76491;19,71684;19,73287;24900;0,00000;0;-0,00766;0,98402;0,12520;0,99756;0,99548;0,99810;1,00020;0,99457;0,99238;-0,04481;0,00948;-0,05429;0,01102;0,01126;-0,00024
2015-06-10;20,06134;20,18953;20,05333;20,18953;2800;0,00000;0;0,02314;1,00679;0,15677;0,99793;0,99576;0,99968;1,00080;0,99481;0,99252;-0,02937;0,00169;-0,03106;0,01279;0,01136;0,00143
2015-06-11;20,08699;20,08699;20,08699;20,08699;200;0,00000;0;-0,00508;1,00168;0,15160;0,99807;0,99590;1,00005;1,00088;0,99495;0,99261;-0,02511;-0,00368;-0,02143;0,01267;0,01144;0,00124
