Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Percent Change;Factor;ATR20;EMA50;EMA80;EMA10;EMA21;EMA100;EMA200;MACD_day;MACDsign_day;MACDdif_day;MACD_week;MACDsign_week;MACDdif_week
2013-10-16;19,10215;20,43596;19,05451;19,37844;837500;0,00000;0;;;;;;;;;;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000
2013-10-17;19,29269;19,50228;19,25458;19,46418;251900;0,00000;0;0,00442;1,00442;;1,00442;1,00442;1,00442;1,00442;1,00442;1,00442;0,00684;0,00380;0,00304;0,00150;0,00077;0,00073
2013-10-18;19,67378;19,76905;19,57851;19,74047;161200;0,00000;0;0,01419;1,01868;;1,00498;1,00478;1,00702;1,00572;1,00471;1,00457;0,03416;0,01624;0,01792;0,00777;0,00321;0,00457
2013-10-21;20,56934;20,56934;19,54993;19,65472;166700;0,00000;0;-0,00434;1,01426;;1,00535;1,00501;1,00833;1,00650;1,00490;1,00466;0,04834;0,02711;0,02122;0,01224;0,00562;0,00662
2013-10-22;19,79764;20,10251;19,50229;19,68331;122600;0,00000;0;0,00145;1,01573;;1,00575;1,00528;1,00968;1,00734;1,00511;1,00477;0,06117;0,03725;0,02393;0,01699;0,00810;0,00889
2013-10-23;19,72142;19,72142;19,45465;19,53087;239700;0,00000;0;-0,00774;1,00787;;1,00584;1,00534;1,00935;1,00738;1,00517;1,00480;0,05837;0,04297;0,01540;0,01883;0,01009;0,00874
2013-10-24;19,67378;19,76905;19,57851;19,76905;60200;0,00000;0;0,01220;1,02016;;1,00640;1,00571;1,01131;1,00855;1,00546;1,00496;0,07451;0,05095;0,02356;0,02475;0,01247;0,01228
2013-10-25;19,89291;19,89291;19,60709;19,70237;37400;0,00000;0;-0,00337;1,01672;;1,00680;1,00598;1,01230;1,00929;1,00568;1,00507;0,08099;0,05817;0,02282;0,02921;0,01491;0,01430
2013-10-28;19,76905;19,76905;19,38796;19,48324;53300;0,00000;0;-0,01112;1,00541;;1,00675;1,00596;1,01104;1,00894;1,00568;1,00508;0,06766;0,06036;0,00730;0,02960;0,01684;0,01276
2013-10-29;19,58804;19,58804;19,34033;19,41655;166400;0,00000;0;-0,00342;1,00197;;1,00656;1,00586;1,00939;1,00830;1,00561;1,00505;0,05113;0,05829;-0,00717;0,02879;0,01829;0,01050
2013-10-30;19,39749;19,49276;19,29269;19,37844;81200;0,00000;0;-0,00196;1,00000;;1,00630;1,00572;1,00769;1,00755;1,00549;1,00500;0,03455;0,05310;-0,01855;0,02733;0,01931;0,00803
2013-10-31;19,34033;19,43560;19,10214;19,34033;41200;0,00000;0;-0,00197;0,99803;;1,00598;1,00553;1,00593;1,00668;1,00535;1,00493;0,01813;0,04559;-0,02746;0,02527;0,01993;0,00533
2013-11-01;19,30222;19,40702;19,15931;19,20694;25000;0,00000;0;-0,00690;0,99115;;1,00540;1,00517;1,00324;1,00527;1,00507;1,00479;-0,00558;0,03476;-0,04034;0,02095;0,02003;0,00092
2013-11-04;19,34033;19,41655;19,24506;19,41655;35900;0,00000;0;0,01091;1,00197;;1,00526;1,00510;1,00301;1,00497;1,00500;1,00476;-0,00738;0,02594;-0,03332;0,02050;0,02008;0,00042
2013-11-05;19,36891;19,54040;19,29269;19,51182;82300;0,00000;0;0,00491;1,00688;;1,00533;1,00514;1,00372;1,00514;1,00504;1,00478;-0,00110;0,02034;-0,02144;0,02173;0,02023;0,00150
2013-11-06;19,62615;19,64520;19,38797;19,47371;102900;0,00000;0;-0,00195;1,00492;;1,00531;1,00513;1,00393;1,00512;1,00504;1,00478;0,00079;0,01632;-0,01552;0,02222;0,02040;0,00183
2013-11-07;19,53087;19,53087;18,93065;18,94018;75800;0,00000;0;-0,02740;0,97738;;1,00422;1,00445;0,99911;1,00260;1,00449;1,00451;-0,04029;0,00473;-0,04503;0,01333;0,01982;-0,00648
2013-11-08;18,96876;19,20694;18,96876;19,14978;34500;0,00000;0;0,01107;0,98820;;1,00359;1,00405;0,99712;1,00129;1,00417;1,00435;-0,05531;-0,00749;-0,04781;0,00853;0,01893;-0,01039
2013-11-11;19,25458;19,25458;19,15931;19,19742;12000;0,00000;0;0,00249;0,99066;;1,00308;1,00372;0,99595;1,00033;1,00390;1,00421;-0,06264;-0,01868;-0,04395;0,00479;0,01785;-0,01306
